,sentiment,occurences,sentimentsSummary,sentimentEdges,score
128 gb,"[0.0, 0.16818181818181818, 0.0]",3,[0.     0.     0.0841],0.08409090909090909,0.8575555115685283
battery,"[-0.15, 0.2, 0.0, 0.0, 0.0, 0.10000000000000002, 0.0, 0.095]",8,[0.     0.     0.0963],0.09625000000000002,1.9877441266394438
battery life,"[0.4, 1.0, 0.5, 0.0, -0.15555555555555556, 0.25, 0.8, 0.0, 0.35]",9,[0.   0.35 0.5 ],0.5,2.1003332678348294
build quality,"[-0.5, 0.9099999999999999]",2,[-0.1475  0.205   0.5575],0.5574999999999999,0.7643149769713367
call quality,"[1.0, 0.9099999999999999, 1.0, 0.2916666666666667]",4,[0.7554 0.955  1.    ],1.0,1.407865372615836
calls,"[0.0, 0.0, -0.15555555555555559]",3,[-0.0778  0.      0.    ],-0.07777777777777779,0.8630834253914289
camera app,"[0.0, -0.325]",2,[-0.2438 -0.1625 -0.0812],-0.24375000000000002,0.7061292862153775
car,"[-0.14583333333333334, 0.1]",2,[-0.0844 -0.0229  0.0385],-0.084375,0.6262899993890222
day,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.06666666666666667]",6,[0.   0.   0.05],0.05,1.5604069236920057
dynamic range,"[0.27999999999999997, 0.125, -0.14583333333333334]",3,[-0.0104  0.125   0.2025],0.20249999999999999,1.1822151160666783
few days,"[-0.2, -0.05]",2,[-0.1625 -0.125  -0.0875],-0.16250000000000003,0.7495650257792309
first full day,"[0.16999999999999998, 0.3, 0.3]",3,[0.235 0.3   0.3  ],0.3,1.215138947773464
first time,"[0.325, 0.25, 0.375, -0.25]",4,[0.125  0.2875 0.3375],0.3375,1.2231509125329978
focus,"[0.10714285714285714, -0.05, 0.0]",3,[-0.025   0.      0.0536],0.05357142857142857,0.8702281744269892
hand,"[0.5, 0.45555555555555555, 0.5, 0.7, 0.6, 0.9]",6,[0.5   0.55  0.675],0.6749999999999999,0.810961502599723
heavy usage,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.8344317699891267
high quality,"[0.16, 0.13071428571428573]",2,[0.138  0.1454 0.1527],0.15267857142857144,0.6549228950478376
high rating,"[0.16, -0.020000000000000004]",2,[0.025 0.07  0.115],0.11499999999999999,0.6574640652204162
large phones,"[0.2380952380952381, 0.10714285714285714]",2,[0.1399 0.1726 0.2054],0.20535714285714285,0.8692374790206188
last night,"[0.0, 0.1986111111111111, 0.5]",3,[0.0993 0.1986 0.3493],0.34930555555555554,1.0522582862485315
long time,"[-0.05, -0.05]",2,[-0.05 -0.05 -0.05],-0.05,0.8769545887846665
low light,"[0.27999999999999997, 0.07083333333333335, 0.4000000000000001]",3,[0.1754 0.28   0.34  ],0.34,1.2280762254234248
other devices,"[0.1875, -0.14583333333333331]",2,[-0.0625  0.0208  0.1042],0.10416666666666667,0.8521130375671512
other hand,"[-0.125, -0.02583333333333333]",2,[-0.1002 -0.0754 -0.0506],-0.10020833333333333,0.7758988478380858
others,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6220682846843032
power button,"[0.5, -0.033333333333333326]",2,[0.1    0.2333 0.3667],0.3666666666666667,0.6384679264739628
project fi,"[0.14285714285714285, 0.0]",2,[0.0357 0.0714 0.1071],0.10714285714285714,0.7562718493911154
same spot,"[0.07714285714285714, 0.0]",2,[0.0193 0.0386 0.0579],0.05785714285714286,0.781975913736862
screen time,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6115754562664989
signal strength,"[1.0, -1.0, 0.25, 0.0, 0.16666666666666666, 0.45714285714285713]",6,[0.0417 0.2083 0.4054],0.40535714285714286,2.112524403686309
size,"[-0.125, 0.2, 1.0, 0.0]",4,[-0.0312  0.1     0.4   ],0.4,0.6864009532879691
small crack,"[-0.02583333333333333, -0.125]",2,[-0.1002 -0.0754 -0.0506],-0.10020833333333333,0.7740140549760339
sot,"[0.0, -0.16666666666666666, 0.25, 0.0]",4,[-0.0417  0.      0.0625],0.0625,0.9329989813466372
speaker,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.8195392440237345
standby drain,"[-0.06444444444444444, 0.5, 0.4444444444444444, 0.11111111111111112]",4,[0.0672 0.2778 0.4583],0.4583333333333333,1.651186512171699
standby power consumption,"[0.0, 0.175]",2,[0.0438 0.0875 0.1312],0.13124999999999998,0.7105680685560896
standby time,"[0.1986111111111111, 0.1875]",2,[0.1903 0.1931 0.1958],0.19583333333333333,0.9080780738381546
verizon,"[0.0, 0.0, -0.15]",3,[-0.075  0.     0.   ],-0.075,0.8670740609445589
video,"[0.175, 0.0, -0.15]",3,[-0.075   0.      0.0875],0.0875,0.864835293489991
video quality,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,0.733748983434051
was expecting,"[0.0, 0.46666666666666673]",2,[0.1167 0.2333 0.35  ],0.35000000000000003,0.7836619186835271
whole time,"[0.07714285714285714, 0.1]",2,[0.0829 0.0886 0.0943],0.09428571428571429,0.9173867899129385
wifi,"[0.0, 0.0, -0.125, 0.0]",4,[-0.0312  0.      0.    ],-0.03125,1.0681595766652696
wifi range,"[0.0, -0.11666666666666663]",2,[-0.0875 -0.0583 -0.0292],-0.08749999999999997,0.8300534566556887
