,sentiment,occurences,sentimentsSummary,sentimentEdges,score
app drawer,"[0.36666666666666664, 0.0, 0.0, 0.25555555555555554, 0.25555555555555554]",5,[0.     0.2556 0.2556],0.25555555555555554,2.1424181740344923
auto mode,"[0.253125, 0.475, 0.0]",3,[0.1266 0.2531 0.3641],0.36406249999999996,1.0341349218027398
battery,"[0.06818181818181818, 0.0]",2,[0.017  0.0341 0.0511],0.05113636363636363,0.6625813755464813
battery life,"[0.0, 0.0, 0.0, 0.0, 0.17812499999999998, -0.2, -0.3, -0.3, 0.5, 0.42500000000000004, -0.1851851851851852]",11,[-0.1926  0.      0.0891],-0.1925925925925926,2.292154960485691
build quality,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.7643149769713367
call quality,"[1.0, 0.4047619047619047, 0.8]",3,[0.6024 0.8    0.9   ],0.9,1.115706910829959
color accuracy,"[-0.07833333333333332, 0.3666666666666667]",2,[0.0329 0.1442 0.2554],0.2554166666666667,0.6901533059414747
device,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,0.7792413242105017
difference,"[0.0, -0.07833333333333332, 0.2]",3,[-0.0392  0.      0.1   ],0.1,0.8919243714651481
dolby atmos,"[0.0, 0.3]",2,[0.075 0.15  0.225],0.22499999999999998,0.6118432860191494
factory reset,"[0.6, 0.0]",2,[0.15 0.3  0.45],0.44999999999999996,0.710273734555309
fast charge,"[0.2, 0.2, 0.53]",3,[0.2   0.2   0.365],0.365,1.2146570128894993
few days,"[-0.06666666666666667, -0.2]",2,[-0.1667 -0.1333 -0.1   ],-0.16666666666666669,0.7495650257792309
fingerprint scanner,"[-0.8, 0.25]",2,[-0.5375 -0.275  -0.0125],-0.5375000000000001,0.7775746853923781
first time,"[0.17857142857142858, 0.25, 0.3125, 0.175]",4,[0.1777 0.2143 0.2656],0.265625,1.2231509125329978
front camera,"[0.0, 0.0, -0.6999999999999998, 0.0]",4,[-0.175  0.     0.   ],-0.17499999999999996,1.1520308794720606
full bars,"[0.285, 0.35]",2,[0.3012 0.3175 0.3337],0.33374999999999994,0.6109164336189682
full brightness,"[0.16, 0.35]",2,[0.2075 0.255  0.3025],0.30249999999999994,0.679596080381097
good job,"[0.475, 0.7]",2,[0.5312 0.5875 0.6437],0.6437499999999999,0.7636056932017851
good lighting,"[0.7, 0.3, 0.7]",3,[0.5 0.7 0.7],0.7,1.1867184814725602
heavy use,"[-0.2, 0.09999999999999999]",2,[-0.125 -0.05   0.025],-0.12500000000000003,0.9373034009196538
heavy user,"[0.12999999999999998, 0.1]",2,[0.1075 0.115  0.1225],0.12249999999999997,0.7033507713017434
hour,"[-0.04999999999999999, 0.0, 0.0]",3,[-0.025  0.     0.   ],-0.024999999999999994,0.7684746989248918
lcd screen,"[0.0, 0.6, 0.0]",3,[0.  0.  0.3],0.3,0.8795343938990822
little bit,"[0.078125, 0.40625]",2,[0.1602 0.2422 0.3242],0.32421875,0.8033763362600671
low light,"[-0.06666666666666665, 0.125, 0.13333333333333333, 0.08333333333333333, -0.19999999999999998, 0.3, 0.20000000000000004]",7,[0.0083 0.125  0.1667],0.16666666666666669,2.1752223377749944
manual mode,"[0.0, 0.13333333333333333, -0.19999999999999998, 0.0, 0.0, 0.5, 0.5916666666666667]",7,[0.     0.     0.3167],0.31666666666666665,1.7168052671164848
manual video mode,"[0.0, 0.3111111111111111]",2,[0.0778 0.1556 0.2333],0.23333333333333334,0.8904919175591174
n7,"[0.0, 1.0, -0.3333333333333333]",3,[-0.1667  0.      0.5   ],0.5,0.9151945811445019
network,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,0.6898972289701053
new battery,"[-0.11889204545454542, 0.13636363636363635]",2,[-0.0551  0.0087  0.0725],0.07254971590909091,0.8752385816605505
nice screen,"[0.3, 0.19666666666666668]",2,[0.2225 0.2483 0.2742],0.27416666666666667,0.6414448731920772
notification volume,"[-0.018518518518518528, -0.5]",2,[-0.3796 -0.2593 -0.1389],-0.37962962962962965,0.8542034485708547
nougat,"[0.5, 0.35]",2,[0.3875 0.425  0.4625],0.4625,0.6008554319557705
office,"[0.1, 0.0, 0.0]",3,[0.   0.   0.05],0.05,0.7609512657573481
oled panel,"[0.0, -0.04000000000000001]",2,[-0.03 -0.02 -0.01],-0.030000000000000006,0.7322987834580446
one day,"[0.021249999999999998, -0.175]",2,[-0.1259 -0.0769 -0.0278],-0.12593749999999998,0.6036477988584675
only thing,"[0.0, 0.10416666666666667, 3.469446951953614e-17]",3,[0.     0.     0.0521],0.052083333333333356,1.3802940423379768
other devices,"[-0.041666666666666664, -0.0625]",2,[-0.0573 -0.0521 -0.0469],-0.057291666666666664,0.8521130375671512
previous post,"[0.09444444444444443, 0.18666666666666668, 0.18611111111111112, -0.08333333333333333, -0.08333333333333333]",5,[-0.0833  0.0944  0.1861],0.18611111111111112,1.6748172975637978
quad dac,"[-0.08333333333333333, 0.0, -0.04999999999999999]",3,[-0.0667 -0.05   -0.025 ],-0.06666666666666665,1.0810361481000044
regular lens,"[-0.1, -0.07833333333333332]",2,[-0.0946 -0.0892 -0.0837],-0.09458333333333334,0.7653354828915122
removable battery,"[1.0, 0.1]",2,[0.325 0.55  0.775],0.775,0.9050331739403265
