,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 hour,"[0.23611111111111108, 0.2, 0.2, 0.8, 0.8, 0.0]",6,[0.2    0.2181 0.659 ],0.6590277777777779,1.2533282513434736
battery life,"[0.0, 0.2214285714285714]",2,[0.0554 0.1107 0.1661],0.16607142857142854,0.6625813755464813
battery monitor widget,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,1.0453870346844074
camera app,"[-0.08333333333333333, 0.5, 0.0, -0.13749999999999996]",4,[-0.0969 -0.0417  0.125 ],0.125,1.412258572430755
camera button,"[0.0, 0.2, 0.10000000000000002]",3,[0.05 0.1  0.15],0.15000000000000002,1.0119477213744235
camera launch speed,"[0.0, 0.2, 0.0]",3,[0.  0.  0.1],0.1,0.7809795382418958
cpu usage,"[0.0, 0.0888888888888889]",2,[0.0222 0.0444 0.0667],0.06666666666666668,0.7476087354101426
device,"[0.5, 0.0, 0.48333333333333334]",3,[0.2417 0.4833 0.4917],0.4916666666666667,0.7792413242105017
ex,"[0.1277777777777778, -0.2, -0.2]",3,[-0.2    -0.2    -0.0361],-0.2,0.7000245465267599
few days,"[0.08333333333333334, -0.2]",2,[-0.1292 -0.0583  0.0125],-0.12916666666666668,0.7495650257792309
front camera,"[0.006666666666666665, 0.425, 0.2]",3,[0.1033 0.2    0.3125],0.3125,0.9129628718180152
last 3 days,"[0.0, 0.14102564102564102]",2,[0.0353 0.0705 0.1058],0.10576923076923077,0.8264138289960063
little bit,"[-0.1875, 0.15625]",2,[-0.1016 -0.0156  0.0703],-0.1015625,0.8033763362600671
lot,"[0.0, 0.11727272727272728]",2,[0.0293 0.0586 0.088 ],0.08795454545454545,0.681347516890446
low light,"[0.3333333333333333, 0.2, 0.4800000000000001, 0.09166666666666667]",4,[0.1729 0.2667 0.37  ],0.37,1.5496596605467337
manual options,"[-0.19999999999999998, 0.0]",2,[-0.15 -0.1  -0.05],-0.15,0.6317438212118817
mm update,"[0.0, 0.2214285714285714]",2,[0.0554 0.1107 0.1661],0.16607142857142854,0.8285823346435692
night scene mod,"[0.45999999999999996, 0.029166666666666674]",2,[0.1369 0.2446 0.3523],0.35229166666666667,0.8260153816090894
photo,"[-0.13333333333333333, -0.20833333333333334, 0.0]",3,[-0.1708 -0.1333 -0.0667],-0.17083333333333334,0.6112906827192056
picture quality,"[0.7, -1.0]",2,[-0.575 -0.15   0.275],-0.575,0.6370664333521909
playing game,"[-0.4, 0.2]",2,[-0.25 -0.1   0.05],-0.25000000000000006,0.6358939136715552
playing heavy games,"[-0.1, 0.028571428571428564]",2,[-0.0679 -0.0357 -0.0036],-0.06785714285714287,0.9992560688534846
quick charge,"[0.15, 0.16666666666666666, 0.23611111111111108, 0.23611111111111108]",4,[0.1625 0.2014 0.2361],0.23611111111111108,1.503385028114464
same amount,"[0.1, -0.08125]",2,[-0.0359  0.0094  0.0547],0.054687500000000014,0.9132190071962965
same interface,"[-0.2, 0.0]",2,[-0.15 -0.1  -0.05],-0.15000000000000002,0.8700070116580406
same time,"[0.0, 0.14285714285714285, 0.0]",3,[0.     0.     0.0714],0.07142857142857142,1.50694664627575
shutter lag,"[0.2, -0.16666666666666666, 0.2, 0.0, -0.06785714285714287, 0.1, -0.08125, -0.025]",8,[-0.0712 -0.0125  0.125 ],0.125,2.2479090754911173
signal strength,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.8172359959175246
standby drain,"[-1.0, 0.11875000000000001]",2,[-0.7203 -0.4406 -0.1609],-0.7203125,0.8255932560858495
time,"[0.04166666666666667, 0.0]",2,[0.0104 0.0208 0.0312],0.03125,0.6115754562664989
video recording,"[-0.06785714285714287, 0.18333333333333332, 0.0]",3,[-0.0339  0.      0.0917],0.09166666666666666,1.1257290889296205
volume button,"[0.2, 0.10000000000000002, 0.0]",3,[0.05 0.1  0.15],0.15000000000000002,1.364767313159475
volume buttons,"[0.0, 0.5633333333333334]",2,[0.1408 0.2817 0.4225],0.4225,0.7411001668821897
wifi issue,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.8402494882870064
