favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
1,Twitter Web Client,A Smartphone that fuels your imagination. #HTCME https://t.co/ytIyfTst2o,,False,Sat Jan 07 04:44:33 +0000 2017,0,817592738677854212,['http://pbs.twimg.com/media/C1isN0rUQAE_SUR.jpg']
14,Twitter Web Client,"Water resistance capabilities coupled with Edge Sense technology, makes #HTCU11 a perfect travel companion. https://t.co/ELwTWp1sSz",,False,Sat Oct 28 10:42:38 +0000 2017,1,924224885852848129,['http://pbs.twimg.com/media/DNOBlRTVAAEZPtB.jpg']
7,Twitter Web Client,#HTCUUltra lets you focus more with a smart combination of #noisecancellation and hi-res #audio. https://t.co/9PTSxMyxER,,False,Tue Mar 21 05:03:23 +0000 2017,1,844051792421945344,['http://pbs.twimg.com/media/C7ashyoX4AACBI6.png']
8,Twitter for iPhone,Clarity always comes to those who look at the bigger #pixel. #HTCUUltra https://t.co/4IcoSOr7mi,,False,Sun Apr 02 14:10:23 +0000 2017,1,848538102889054208,['http://pbs.twimg.com/media/C8ac58SWAAQkIo0.jpg']
1,Hootsuite,"Everyone has a corner in their #home which is exquisite, #contemporary and an absolute favorite. Share a picture wi… https://t.co/pcoJgUZwfo",,False,Wed Oct 26 11:30:24 +0000 2016,0,791240559600005120,
4,Twitter Web Client,"Carry #HTCDesire628 anywhere with you, for the brilliance of the #BoomSound will always keep you engaged. #HTCME https://t.co/T3ExfcBRTB",,False,Thu Nov 24 13:33:59 +0000 2016,1,801780909703766016,['http://pbs.twimg.com/media/CyB_DboUoAIBHzN.jpg']
10,Hootsuite,"The HTC 10 has it all. Define yourself with the #PowerOf10.
#HTCME https://t.co/HD34tuggdg",,False,Fri Dec 09 03:30:27 +0000 2016,4,807064841324298241,['http://pbs.twimg.com/media/CzNFMdEW8AACJzS.jpg']
3,Twitter Web Client,"With four in-built microphones, the #HTCUUltra listens to you even when it's asleep. https://t.co/fTeV7nJ8zv",,False,Fri Mar 24 05:08:58 +0000 2017,0,845140359046840321,['http://pbs.twimg.com/media/C7qKdBKVUAI74ru.png']
0,Twitter Web Client,Participate in our #Facebook #contest and stand a chance to win exclusive #prizes. https://t.co/lEjXWkBMlR #ContestAlert,,False,Fri Oct 21 08:06:48 +0000 2016,0,789377382830383104,
1,Twitter Web Client,"So vivid, you will feel like a new person each time you switch from Sunset Blue to Cobalt White. #HTCME https://t.co/rhs0pl90Xb",,False,Fri Jan 06 07:08:12 +0000 2017,1,817266499945537536,['http://pbs.twimg.com/media/C1eDhpbUoAA-uc6.jpg']
9,Twitter Web Client,"The beast is out of its cage, and is a thing of beauty! 
HTC U11 Solar Red now available in stores. 
#HTCU11… https://t.co/upSolShuti",,False,Tue Jul 25 07:04:55 +0000 2017,2,889743247735611392,
0,Twitter Web Client,"@TS19720 Hi, The #HTCU11 will be delivered after 17th June.",TS19720,False,Tue Jun 13 05:07:03 +0000 2017,0,874493295707144192,
12,Hootsuite,Create innumerable memories in no time with #HTCU11. #SqueezeIsTheNewSmart https://t.co/T060jXwm4W,,False,Fri Jun 30 05:00:14 +0000 2017,2,880652173163606021,['http://pbs.twimg.com/media/DDi0e6JXUAAZs0k.jpg']
5,Twitter Web Client,"Wishing you an Easter that is bright, happy, and filled with contentment. #HappyEaster https://t.co/rrKnS6IV2w",,False,Sun Apr 16 05:44:20 +0000 2017,1,853484181958967296,['http://pbs.twimg.com/media/C9gvUMJVoAARdR4.jpg']
15,Twitter Web Client,"The beautiful Golden Temple in Amritsar, Punjab, India captured by @shimonips on his #HTCU11. #ShotonHTC https://t.co/GlQIBcNSmV",,False,Mon Oct 23 05:22:41 +0000 2017,0,922332428030459904,['http://pbs.twimg.com/media/DMzIaIPVAAAX0wR.jpg']
18,Twitter Web Client,"With the UltraPixel light sensitivity in the front camera of #HTCU11, nobody can stop you from taking selfies, even… https://t.co/zzK0mgVL9J",,False,Fri Nov 17 12:43:47 +0000 2017,1,931503131862614021,
20,Twitter Web Client,It's double celebration &amp; discount. Buy #HTCU11 from #Lazada &amp; get attractive deals. Shop now… https://t.co/yNSzjRio5Y,,False,Fri Aug 04 11:16:35 +0000 2017,4,893430460335915008,
4,Twitter Web Client,"A sustenance for your evening date.
#HTCDesire10Pro https://t.co/WhKgKOIY3B",,False,Mon Jan 30 13:10:16 +0000 2017,1,826054927600480256,['http://pbs.twimg.com/media/C3a8i-GWAAEjvPd.jpg']
15,Twitter Web Client,"HTC Sense Companion in #HTCUPlay, learns from you to know you better over time. https://t.co/IAvwrOgj5A",,False,Wed Apr 26 05:23:11 +0000 2017,3,857102738727067648,['http://pbs.twimg.com/media/C-UKYJnXsAASMhj.jpg']
10,Twitter for iPhone,"#ContestAlert
#ChristmassyMe #contest
Stand a chance to win #HTCUPlay this Christmas. Share a video of you singing… https://t.co/BJcb0LeA60",,False,Wed Dec 20 15:24:47 +0000 2017,3,943502447812657153,
3,Twitter for iPhone,When you have #HTCDesire628 you shall spare no effort to get those breathtaking low light images. https://t.co/7ma5GM6Ppn,,False,Sat Dec 03 04:45:44 +0000 2016,1,804909459940184065,['http://pbs.twimg.com/media/Cyuc4NRXcAAuxWP.jpg']
1,Twitter Web Client,"Practically speaking, E=MC^2 is not the equation of relativity; it is actually Entertainment clubbed with Music.… https://t.co/fZNjeFlL4N",,False,Mon Jan 23 14:30:25 +0000 2017,0,823538382152335361,
0,Twitter Web Client,Hello Twitter! #WeAreHere,,False,Mon Oct 17 07:43:03 +0000 2016,0,787921853729898496,
12,Twitter for iPhone,We're excited for the #HTCLaunch. Are U? stay tuned! https://t.co/m2Faj6D50P,,False,Wed Feb 15 06:44:58 +0000 2017,3,831756168112504832,['http://pbs.twimg.com/media/C4r90yxWQAA96gs.jpg']
0,Hootsuite,"This time, Let #HTC10 be your guide with Beidou #navigation #satellite system. #HTCME",,False,Mon Nov 14 06:30:33 +0000 2016,0,798050468849037312,
2,Twitter Web Client,#HTCDesire10Pro is engineered to outshine. Do you agree? https://t.co/6togHTYdMq,,False,Wed Jan 25 06:10:03 +0000 2017,0,824137237130518529,['http://pbs.twimg.com/media/C2_sbncXEAAYfYS.jpg']
2,Twitter Web Client,"One of the many essentials you just can’t do without.
#HTCDesire10Pro https://t.co/YjAHW6qzTs",,False,Tue Jan 31 13:38:01 +0000 2017,0,826424297329664001,['http://pbs.twimg.com/media/C3gLbhOXAAAnBY0.jpg']
8,Hootsuite,An incredible DxOMark 90 score proves that #HTCU11 has the highest rated camera. Give it a shot now! https://t.co/frL6Pu1mzS,,False,Sat Jun 24 02:30:16 +0000 2017,3,878440105559691265,['http://pbs.twimg.com/media/DDDYnliWsAAzHN5.jpg']
15,Twitter Web Client,Read to know what @vrzone has to say about the #HTCU11. https://t.co/rBNQxWl0MK,,False,Thu Jun 22 06:25:39 +0000 2017,8,877774564327014400,
2,Twitter Web Client,Make your phone as unique as you are and get creative with it. #HTCDesire10Pro https://t.co/c5LTZv01db,,False,Fri Feb 03 06:35:49 +0000 2017,0,827405209559191553,['http://pbs.twimg.com/media/C3uIo5sVMAIWQEc.jpg']
1,Twitter Web Client,"⚡️ #HTCUUltra

https://t.co/mPXdYayLjb",,False,Fri Mar 24 06:37:10 +0000 2017,0,845162554632552448,
7,Hootsuite,"When nature meets design, the result is brilliant - #HTCU11.
https://t.co/5zzaePgD4B",,False,Thu May 18 03:00:20 +0000 2017,0,865039319542751232,
19,Twitter Web Client,"We made everything better with the #HTCu11Plus  
Now isn't that a much better U #NowAvailable https://t.co/40MsQNgwUj",,False,Sat Feb 03 14:32:03 +0000 2018,1,959796631922077696,['http://pbs.twimg.com/ext_tw_video_thumb/959796456281354246/pu/img/-rDrxyekET-Z8EIT.jpg']
1,Twitter Web Client,"This time let those messages wait for the right reason. 
Drive Responsibly, Don’t Text and Drive. https://t.co/fHuGtFzmfB",,False,Tue Dec 20 08:59:58 +0000 2016,0,811134035002998784,['http://pbs.twimg.com/media/C0G6Cb-UkAANwM0.jpg']
15,Twitter Web Client,The curved look of the #HTCU11 comes due to its unique 3-axis symmetry process during production. https://t.co/1n0kuNOHXL,,False,Fri Dec 08 11:52:09 +0000 2017,2,939100280783646721,['http://pbs.twimg.com/media/DQhatzVVwAAGh6I.jpg']
5,Twitter Web Client,"With its stunning 5.7 inch Quad HD screen with Dual Display, you have a Smartphone display which epitomizes brillia… https://t.co/OIuj13Fat6",,False,Thu Mar 30 05:01:08 +0000 2017,1,847312714300923904,
19,Twitter for Android,"A phone as bright as the sun! HTC U11 Solar Red coming soon to Singapore! 
#HTCU11 #SolarRed https://t.co/sopTHbdxSn",,False,Sat Jul 15 05:06:36 +0000 2017,3,886089595175055360,['http://pbs.twimg.com/ext_tw_video_thumb/886089495891673090/pu/img/pKSZ3QGxDhDNzAh9.jpg']
1,Twitter Web Client,"A digital diary that will keep all your memories safe. Save paper, switch to HTC. #HTCME https://t.co/vEaWDHXoa8",,False,Tue Jan 10 06:22:06 +0000 2017,0,818704451288657920,['http://pbs.twimg.com/media/C1yfVaNVIAEHe0d.jpg']
23,Twitter Web Client,"We bet you have never seen a RED like this! 
#HTCU11 #SolarRed #HTCSingapore https://t.co/PKYwNDbVUj",,False,Fri Aug 04 05:23:28 +0000 2017,8,893341595839250432,['http://pbs.twimg.com/tweet_video_thumb/DGXJKtrUwAE4ifg.jpg']
17,Twitter for Android,"They say perfection is hard to achieve, we say otherwise.
#HTCU11 #AutoHDR #SqueezeIsTheNewSmart #EdgeSense #HTC https://t.co/2RanXPaFR6",,False,Sat Aug 19 06:20:00 +0000 2017,2,898791639417667585,['http://pbs.twimg.com/ext_tw_video_thumb/898791559063191552/pu/img/t0SVFLGhvIKBllgB.jpg']
25,Twitter Web Client,The upgraded BoomSound Hi-Fi edition speakers in HTC U11 can get everyone grooving. https://t.co/6XY0Kpovd2,,False,Fri Jul 07 05:02:16 +0000 2017,11,883189401353822208,['http://pbs.twimg.com/tweet_video_thumb/DEG4CxwXgAAsYRO.jpg']
2,Hootsuite,"Thanks to HTC 10’s Live Makeup, you can now do those last minute touch-ups. #HTCME https://t.co/6GMpBlH2LG",,False,Sat Nov 26 04:30:19 +0000 2016,1,802368864508059652,['http://pbs.twimg.com/media/CyKWOmbXgAAXvpm.jpg']
0,Twitter for iPhone,Switch your life from work to leisure in just a click. The #DualSIM #HTCDesire628 is there to accompany you.… https://t.co/Gq8dvLYvcF,,False,Wed Oct 19 12:39:55 +0000 2016,0,788721339419004928,
14,Twitter Web Client,"#ContestAlert
It’s Christmas time and you could stand a chance to get an HTC U play as a gift if you participate in… https://t.co/rrxyM5FPFy",,False,Wed Dec 20 06:47:51 +0000 2017,6,943372357091057665,
