favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
0,Lithium Tech.,"@EwanStewart Hi Ewan, Sorry for the delay kindly check your inbox , we've sent you a ""DM"" with the feedback . ^SZ",EwanStewart,False,Mon Jul 10 19:27:36 +0000 2017,0,884494329997217792,
0,Twitter Web Client,@richard_glover Sounds like early May to us 😉 ^RH,richard_glover,False,Fri Apr 15 15:51:51 +0000 2016,0,721003109766602752,
0,Twitter Web Client,@MrImmaculateS We’re working hard to bring you the update at the earliest possible date. Stay tuned! ^RH,MrImmaculateS,False,Fri Jan 13 16:15:37 +0000 2017,0,819940979390251008,
0,Twitter Web Client,@norafinds We're sorry to hear you're having this issue Nora. Contact our Technical Support team here: https://t.co/DZn0OUrVy3 for help ^CD,norafinds,False,Tue May 17 10:11:05 +0000 2016,0,732513766147915776,
1,Twitter Web Client,"@torkijo The One A9 has dolby hi-res audio along with lots of other features, check it out here: https://t.co/hlUwywxkIQ ^CD",torkijo,False,Mon May 09 13:44:16 +0000 2016,0,729668309935886337,
0,Twitter Web Client,"@CalComms These should be available on https://t.co/0xik59qCLM soon, stay tuned for details. As for 3rd party retailers,... ^RH (1/2)",CalComms,False,Tue May 10 19:42:01 +0000 2016,0,730120731242172418,
0,Twitter Web Client,"@AlanSabatino Hi Alan, sorry if we missed your previous message. Please DM us more info on the problem you're experiencing. ^RH",AlanSabatino,False,Mon Jun 06 16:22:02 +0000 2016,0,739854876189065218,
0,Twitter Web Client,@Darjanator Have you performed a backup and factory reset since the update? This should help prevent software bugs ^CD,Darjanator,False,Fri Apr 22 10:39:43 +0000 2016,0,723461271476039682,
0,Twitter Web Client,"@BuddhimaZ Hey, you can check the full connectivity specs for the HTC 10 here: https://t.co/bkUD66kryF ^RH",BuddhimaZ,False,Thu Feb 16 16:07:43 +0000 2017,0,832260175117549568,
0,Twitter Web Client,"@tinymeows Hmmm, that's no good 😕 Which device is this? ^RH",tinymeows,False,Fri May 27 19:23:22 +0000 2016,0,736276631547973632,
0,Hootsuite,"@bundleofsass Hello Harris,
We're sorry for the delayed response &amp; inconvenience ,Please check your inbox , we've s… https://t.co/r2nmuHAtJ2",bundleofsass,False,Thu Apr 20 18:31:31 +0000 2017,0,855126799977730048,
0,Twitter Web Client,"@keybo83 Hey Keyan, you should contact our Technical Support team here: https://t.co/DZn0OUakGv for help with this issue ^CD",keybo83,False,Wed May 25 13:33:47 +0000 2016,0,735463877178232832,
1,Twitter Web Client,@EdanBrooke Excellent news! Could have been a real 🙈 moment. ^RH,EdanBrooke,False,Tue May 24 10:09:22 +0000 2016,0,735050045339357184,
0,Twitter Web Client,"@pete_xl5 Hey Pete, we're sorry to hear this. We'd like to help. Kindly DM us what exactly are the error messages. We'll start there. ^RF",pete_xl5,False,Wed Jan 25 09:47:25 +0000 2017,0,824191939968925700,
0,Twitter Web Client,"@Cat5weaver Hi Bill, we've sent you a DM related this matter. ^RF",Cat5weaver,False,Fri Sep 02 14:08:27 +0000 2016,0,771711388578263040,
2,Twitter Web Client,"@spikeydoo2006 It's our pleasure to help, Patrick! We're glad we could get you back up and running! Cheers! ^RF",spikeydoo2006,False,Fri Sep 16 11:09:26 +0000 2016,0,776739768080011264,
0,Twitter Web Client,"@TeddyForan Hi Teddy, yes the One M9 will be updated to Android Nougat very soon. Stay tuned! ^RH",,False,Mon Feb 20 12:08:36 +0000 2017,0,833649554503430144,
0,Twitter Web Client,@viv_wilson You may also find the IMEI number on your phone's Sim tray or on it's box. It's a 15 digit code which starts with number 3. ^RF,viv_wilson,False,Tue Jan 10 17:49:27 +0000 2017,0,818877426537086976,
26,Twitter Ads,"Own your day. UA Band measures heart rate, daily activity and workout intensity #UAHealthBox https://t.co/71Ywja2dzm https://t.co/3vYbboPcoc",,False,Tue Sep 27 16:00:15 +0000 2016,6,780799222807343104,['http://pbs.twimg.com/media/CtRIhnzUEAAdMqf.jpg']
0,Hootsuite,"@JOSHWHTWRTH we are very sorry for the issue with your case, Please contact our technical team on this link: https://t.co/DWlXPjMz8S ^MS",JOSHWHTWRTH,False,Tue Mar 28 09:51:35 +0000 2017,0,846661034505093120,
0,Twitter Web Client,"@10n6 Sorry to hear that Matthew, you can contact our Technical Support team here: https://t.co/DZn0OUrVy3 for help with this issue ^CD",10n6,False,Thu Apr 21 07:46:38 +0000 2016,0,723055327457865728,
0,Twitter Web Client,"@AskingMike Hi Mike, you can expand the memory with a microSD card. ^RH",Mikecox95,False,Tue Sep 20 09:11:03 +0000 2016,0,778159526801444864,
0,Hootsuite,"@GEGriffiths Hello Gareth, please check your inbox as we've sent you a DM . :) ^SZ",GEGriffiths,False,Sat May 06 14:21:50 +0000 2017,0,860862172993290240,
0,Twitter Web Client,"@Ed_99UK Hey, Ed. We'd like to help. May we suggest to perform a battery calibration. ^RF 1/2",Ed_99UK,False,Fri Nov 04 09:43:15 +0000 2016,0,794475083859300352,
23,Twitter Ads,HTC 10. Made to turn heads. https://t.co/Rap31raVFV https://t.co/b0yCUnkQXr,,False,Fri Sep 09 21:00:43 +0000 2016,5,774351853836378112,['http://pbs.twimg.com/media/Cr7bm2xVIAI3b2W.jpg']
1,TweetDeck,@adam_ation 😆 Think we got it right in today's tweet though!,adam_ation,False,Fri Jun 23 10:33:32 +0000 2017,0,878199336424931328,
0,TweetDeck,"@redheadedbaker Hi there, sorry to hear this. We have noted that a few people have reported this to us on twitter.… https://t.co/hkraryRN3w",redheadedbaker,False,Thu Feb 08 16:11:24 +0000 2018,0,961633571101437952,
0,Lithium Tech.,"@ChaudharyEmraan Hi! We'd love to help. Try this, https://t.co/Ly9pKeyJtx. If it's still not working, contact us th… https://t.co/rAYSTh4haW",ChaudharyEmraan,False,Wed Jul 19 13:39:53 +0000 2017,0,887668317955084289,
0,Twitter Web Client,@tinymeows You should contact our Technical Support team here: https://t.co/DZn0OUrVy3 for further help with this issue ^CD,tinymeows,False,Fri May 27 08:30:21 +0000 2016,0,736112292232716288,
