favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
1,ExpionDev,"@ankurvj Hi Ankur, @HuaweiIndia will be able to look into this. Thank you",ankurvj,False,Wed Jun 15 09:49:08 +0000 2016,0,743017488976388097,
0,ExpionDev,@TheTraceVining No can do! Which of our phones do you have your eye on?,TheTraceVining,False,Fri Sep 16 09:52:36 +0000 2016,0,776720431608918016,
0,Twitter Web Client,"@syedmh_ Hi, for questions regarding updates please refer to our support portal here: https://t.co/Lxj6SWkfmc Thank you!",syedmh_,False,Fri Feb 24 01:04:32 +0000 2017,1,834931987722883072,
1,ExpionDev,"@ProjectEby @HuaweiOZ @HuaweiMobileAU Hi, we do not have any updates yet, but will share on our Twitter pages as soon as we do. Thank you.",ProjectEby,False,Wed Nov 23 17:08:08 +0000 2016,0,801472414769152000,
0,ExpionDev,"@Prashanto6 Hi, unfortunately you will have to speak to them directly about that. Thank you.",biyu50,False,Thu Oct 27 11:26:27 +0000 2016,0,791601954300493824,
54,Twitter for Android,London by night via @MrWhisper #CapturedonP10 https://t.co/qD7PjkUeqc,,False,Tue Oct 03 19:02:41 +0000 2017,4,915291031964454917,
0,Twitter Web Client,"@iaman_deep Hi, for update-related information, please contact our support team: https://t.co/Lxj6SWkfmc Thank you!",iaman_deep,False,Fri Mar 17 00:07:05 +0000 2017,0,842527672995479552,
0,Twitter Web Client,"@AimanFO Hi, the experts in our support team are the best people to help you and can be contacted here https://t.co/Lxj6SWkfmc … Thank you",AimanFO,False,Fri Jan 06 21:37:10 +0000 2017,0,817485183347662848,
343,ExpionDev,Slim. Powerful. Smart. Find out more about the #HuaweiP9Lite here https://t.co/mGNKrfnW5c https://t.co/Pd0ej2s1qs,,False,Fri Nov 25 12:59:50 +0000 2016,274,802134702253625344,['http://pbs.twimg.com/media/CyHBQgYWgAAuQFL.jpg']
0,ExpionDev,"@LeoSimorangkir Hi, our support team are best placed to advise on updates in your region. They are available here: https://t.co/9btC6UAzqd",LeoSimorangkir,False,Wed Dec 21 12:44:23 +0000 2016,0,811552896697466880,
28,Twitter Web Client,We adore the soft contrasts in this great photo by @artistcolor6 on the #HuaweiP9. Share your photos today using #OO https://t.co/3J6G1QTKdS,,False,Thu Jul 14 08:49:18 +0000 2016,6,753511680865345536,
0,Twitter Web Client,@ALJAMEELMOH Hi! You can find local service centers here: https://t.co/bPvQl7luZi Thanks!,ALJAMEELMOH,False,Fri Sep 22 23:13:58 +0000 2017,0,911367999730237440,
0,ExpionDev,"@HR_PRANTO02 @EyeEm @dguttenfelder Hi, to enter the competition please follow the instructions here: https://t.co/DLVjYQhcch Thank you.",HR_PRANTO02,False,Wed Oct 12 15:48:45 +0000 2016,0,786232146956607488,
74,Twitter Web Client,"Creativity with the lightest touch. The 4096-level pressure sensitivity on the new M-Pen, brings the most delicate… https://t.co/U6tlAxodH0",,False,Thu Mar 01 19:57:45 +0000 2018,12,969300680753188865,
0,ExpionDev,"@PaulaEsclapez Hi Paula, the MediaPad M3 is out from Sep 2016. Please contact your local retailers for more information. Thank you.",PaulaEsclapez,False,Mon Sep 26 11:43:17 +0000 2016,0,780372163652190208,
44,Twitter Web Client,Struggling to stay connected? The #HUAWEIMate10Pro battery will last over a day of heavy use and 2 days of normal u… https://t.co/X7VucOKE9F,,False,Tue Jan 09 22:38:50 +0000 2018,14,950859436205137920,
0,Twitter Web Client,"@danlarteygh Indeed! The P9 has an all-metal, sandblasted unibody.",danlarteygh,False,Fri Jan 20 09:40:31 +0000 2017,0,822378262764474368,
54,ExpionDev,"This #traveltuesday, we took a dip with the #HuaweiP9 (in a waterproof case). Where will you take yours? #OO https://t.co/ELnek5u3HA",,False,Tue Jul 12 11:46:28 +0000 2016,14,752831488178155522,['http://pbs.twimg.com/media/CnKYPvbWAAEyLOz.jpg']
78,Twitter for Android,That's a wrap #HuaweiMWC2017 Over-and-out from #MWC2017 and our award-winning #HuaweiP10 https://t.co/8T14As8BnB,,False,Thu Mar 02 20:01:59 +0000 2017,22,837392560523997185,['http://pbs.twimg.com/media/C58EFwrWUAAoKFu.jpg']
4,Twitter Web Client,"@asarigollu @leica_camera Thanks, Arda. We look forward to hearing your thoughts when you do. #HuaweiP9 #OO",asarigollu,False,Thu Apr 07 14:38:35 +0000 2016,0,718085567645413376,
0,ExpionDev,"@HartRob88 Hi Robert, please get in touch with our support team for help with this. You can reach them here: https://t.co/9btC6UAzqd",,False,Thu Dec 08 11:55:09 +0000 2016,0,806829467423404032,
0,Twitter Web Client,"@Piciok Hi Pawel, please contact your carrier who will be able to advise you on this, thank you.",Piciok,False,Thu May 05 14:16:53 +0000 2016,0,728226967460433920,
1,ExpionDev,"@ColesyGaming @androidcentral Thank you for your kind words, we really appreciate it. Be sure to send us any pictures you are proud of!",ColesyGaming,False,Thu Sep 29 14:17:23 +0000 2016,0,781498107783684097,
0,Twitter Web Client,"@Carlos71556202 Hi, for information on the P10 please visit https://t.co/qrPQO0yfWP Thank you!",Carlos71556202,False,Wed Mar 29 23:23:47 +0000 2017,0,847227817267822594,
60,Twitter for Android,Got the munchies? Instagrammer certifiednosh enjoyed her delicious pork belly bao. Shot on the #HuaweiP10 using the… https://t.co/KLJzGOP4vc,,False,Wed Aug 16 14:52:42 +0000 2017,7,897833502045024258,
0,Twitter Web Client,"@ibtissxm Hi Sam, we are sorry to hear this. Can you please confirm where you are located so that we may assist? Thank you.",,False,Wed Nov 16 15:58:35 +0000 2016,0,798918193645428736,
