favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
0,Twitter Web Client,@lamkrish Soon Krish! Keep an eye out for it.,lamkrish,False,Sun May 14 15:53:41 +0000 2017,0,863784387938103296,
4,Twitter Web Client,@viren_singh45 @GISSupport @Lumia @nokia Thank you Viren!,vir_sk,False,Sat Oct 28 23:00:46 +0000 2017,26,924410643981131776,
1,Hootsuite,@bhargavtweets we're aiming to release worldwide in Q2 2017 (April - June). It's not far away now.,bhargavtweets,False,Tue Mar 21 23:14:01 +0000 2017,0,844326256497840132,
1,Conversocial,@jiboyv It's 2G. But we’re always innovating and developing based on feedback from customers. Time will tell if this is smth people want.,jiboyv,False,Wed Mar 01 10:33:12 +0000 2017,0,836887036703436801,
32,Twitter Web Client,"@DhruvJatav272 Happy to make you smile, Dhruv 😀",DJTech72,False,Fri Oct 06 13:33:27 +0000 2017,192,916295340646653952,
0,Twitter Web Client,"@rajatchinara Some features which the global version will feature, including access to the Google Playstore. [2/2]",rajatchinara,False,Sun Apr 30 14:08:29 +0000 2017,0,858684486036443136,
1,Hootsuite,"@LIFOjosh We are currently working with operators, retailers and distributors. You can register for updates: https://t.co/wPKTEvuO3e",LIFOjosh,False,Wed Mar 15 03:51:33 +0000 2017,0,841859385106305024,
2,Hootsuite,@xtornzvt We don't comment or speculate on rumours. Stay tuned for further announcements.,xtornzvt,False,Sun Apr 23 04:17:38 +0000 2017,0,855999078525698049,
3,Twitter Web Client,"@JonBothe What a coincidence, Jon! :)",JonBothe,False,Sat Oct 21 04:06:54 +0000 2017,23,921588581948256256,
0,Twitter Web Client,"@abhime30 @NokiaIndia @nokia @BBCHindi Hi Abhishek, the Nokia 6 will receive regular Android updates and monthly se… https://t.co/tC0xK4pEbt",abhime30,False,Sun Jun 25 07:31:03 +0000 2017,0,878878189015191553,
1,Conversocial,@BlOoMind we don't comment or speculate on rumours. Stay tuned to our social channels for all the latest announcements,BLOoMIND,False,Thu Mar 02 16:28:51 +0000 2017,0,837338924540391424,
2,Facelift Cloud,@fabisalsa24 Thank you for the love :),fabisalsa24,False,Wed Feb 28 15:13:30 +0000 2018,0,968866756289732608,
0,Facelift Cloud,"@SwastiknathSN thanks for the love, Don't forget to register for updates and future announcements at https://t.co/waNGfPppQ8",SwastiknathSN,False,Thu Feb 01 20:52:47 +0000 2018,0,959167667549671424,
3,Twitter Web Client,@Prabhudbeast The Nokia 8 will retail for approximately 599 euros. This is a global estimate and will vary dependin… https://t.co/HzedYaj4fZ,Prabhudbeast,False,Thu Sep 21 23:57:30 +0000 2017,15,911016568305336320,
35,Twitter Web Client,"@AnandYadav_81 @kalske If you're experiencing any technical issues at all, please reach out to our support team at https://t.co/SsyXdcZRd6.",AnandYadav_81,False,Thu Oct 05 10:50:30 +0000 2017,285,915891942579408896,
0,Facelift Cloud,@randrafels,randrafels,False,Fri Jan 05 11:18:13 +0000 2018,0,949238601530904577,
1068,Twitter Web Client,Hello #Bothie! The world’s first smartphone to broadcast live with both cameras simultaneously. Meet the #Nokia8. https://t.co/nMLl8h6YZe,,False,Wed Aug 16 20:20:08 +0000 2017,512,897915901495980032,['http://pbs.twimg.com/ext_tw_video_thumb/897915215190294528/pu/img/-O1wS0lYWCHAgZT4.jpg']
1,Facelift Cloud,@WiredframeDE Hi there. Sorry to hear you are having trouble. Please contact our customer support who will be more… https://t.co/9R2oXoRUy6,WiredframeDE,False,Fri Feb 16 16:44:12 +0000 2018,0,964540927376273410,
1,Hootsuite,@zektor48 We're aiming to release worldwide in Q2 2017 (April - June).,flako_cabrera,False,Tue Apr 18 01:28:00 +0000 2017,0,854144449454231552,
2,Facelift Cloud,"@SubediS19 Hi, we don't comment or speculate on rumours. Stay tuned to our social channels for all the latest annou… https://t.co/5kmT1JlR6J",SubediS19,False,Sun Feb 25 10:57:46 +0000 2018,0,967715237322469376,
5,Twitter Web Client,"@WAntonyandreas Happy you like it, Antonyandreas! 😊",WAntonyandreas,False,Sun Aug 27 13:24:23 +0000 2017,2,901797544979783681,
2,TweetDeck,@nuintje51 Thanks for the feedback Rudolf.,nuintje51,False,Wed Mar 15 11:25:00 +0000 2017,0,841973501791764481,
0,Facelift Cloud,"@kootrapalli Hi Rajesh, #Nokia7plus will go on sale from early April.",kootrapalli,False,Tue Mar 20 11:44:12 +0000 2018,0,976061841943212032,
1,Facelift Cloud,@mrfrinkles Great Picture!,mrfrinkles,False,Mon Jan 22 11:45:52 +0000 2018,0,955406155802710016,
2,Twitter Web Client,"@muzzaaaaxh Hi Muzni, sorry to hear this! Please reach out to our technical support team at https://t.co/CzCWHnqpkq… https://t.co/GMq2JOzszA",muzzaaaaxh,False,Sat Aug 05 08:22:09 +0000 2017,0,893748949839904768,
1,Twitter Web Client,"@duclathanh We suggest contacting @microsofthelps, https://t.co/HAejmsSSNc or https://t.co/B25ziqkCpo for help :)",duclathanh,False,Fri Nov 03 22:10:15 +0000 2017,24,926572257060708352,
1,Facelift Cloud,@Copstick Hi there. Thanks for getting touch! Sorry to hear you are having trouble. Please contact our customer sup… https://t.co/MCbirmh3yQ,Copstick,False,Tue Feb 13 13:25:18 +0000 2018,0,963403710712958977,
1,Conversocial,"@AravindhG3 we'll be coming soon, stay tuned for more....",aravindhg3,False,Mon Mar 13 11:07:09 +0000 2017,0,841244233604435968,
9,Twitter Web Client,"@hulksahil @nokia Hi Sahil, have you tried any electronics or phone retailers in your area?",hulksahil,False,Sat Oct 14 16:03:43 +0000 2017,83,919232259332374529,
40,Twitter Web Client,@MustaakAli3 @sarvikas Thanks for your suggestion!,MustaakAli3,False,Thu Oct 05 10:54:22 +0000 2017,292,915892917927112705,
0,Hootsuite,"@pajomife @pajomife Hi, we don't comment on rumours. Keep an eye on our social media pages for exciting updates!",pajomife,False,Thu May 18 08:17:02 +0000 2017,0,865119019581546496,
3,Twitter Web Client,@kvishwa04 Nokia 6 has a hybrid slot. It could take 2 nano sim or 1 nano sim and one micro SD card.,kvishwa04,False,Tue Mar 28 13:24:05 +0000 2017,0,846714510777954304,
0,Hootsuite,@sushil44 @sanjaybafna @HMDGlobal The Nokia 3310 only works on 2G networks.,ISushilBhandari,False,Tue May 16 06:59:46 +0000 2017,0,864374799447052288,
1,Twitter Web Client,"@iechramig Good things come to those who wait, Iechra! ;)",iechra,False,Mon May 01 15:14:12 +0000 2017,0,859063412185280513,
2,Conversocial,@bobovnikovalek @imlochab To be the first to know sign up at https://t.co/waNGfPppQ8 (2/2),bobovnikovalek,False,Sun Mar 12 22:27:39 +0000 2017,0,841053097350815747,
8,Twitter Web Client,"@tractorman07 @SuperSaf That's awesome, hope you love it as much as we do!",tractorman07,False,Wed Aug 16 21:03:15 +0000 2017,0,897926754475491329,
0,Facelift Cloud,"@mofturos Hi there, That doesn't sound good, please contact our customer support who will be happy to help: https://t.co/HdSKcClNxw",mofturos,False,Fri Feb 02 14:55:37 +0000 2018,0,959440171954524162,
0,Hootsuite,"@Davor2991 @Davor2991 Hi Davor, we can't comment on future announcements at the moment. Stay tuned to our social media pages for updates.",Davor2991,False,Mon Apr 24 10:31:17 +0000 2017,0,856455497347682304,
8,Hootsuite,"@Jitenderjjn11 No, we think it's perfect for the specifications :)",Jitenderjjn11,False,Fri Jun 23 05:32:01 +0000 2017,0,878123455325065216,
0,Facelift Cloud,"@sonishrivastav5 Hi there, please contact our customer support who will be happy to help sort the issue: https://t.co/HdSKcClNxw",sonishrivastav5,False,Mon Jan 22 14:54:36 +0000 2018,0,955453648829591558,
3,Hootsuite,@Sujeet_S @nokia @NokiaIndia @amazon @amazonIN Registrations start on 14th July :),SujeetHSharma,False,Thu Jun 22 00:37:57 +0000 2017,0,877687064854241280,
0,Facelift Cloud,"@Afitron Hi Afi, pricing varies by market and is affected differently in each country by local subsidies and taxes.… https://t.co/AtQnbI8to9",Afitron,False,Wed Mar 07 10:45:30 +0000 2018,0,971336028702298112,
3,Twitter Web Client,@LePHOENIX_V No word on that at the moment King. We can't speculate on any possible future projects. 🙂,LePHOENIX_V,False,Sat Sep 23 15:06:37 +0000 2017,18,911607741914992640,
1,Facelift Cloud,"@Motwera Currently, the 3310 4G is exclusive to the China mainland region only. There are no further launch plans t… https://t.co/Y4SVuwQxWZ",Motwera,False,Sun Feb 18 08:45:26 +0000 2018,0,965145219116224512,
3,Hootsuite,@shantanutiwar12 We don't comment or speculate on rumors. Stay tuned to our social channels for all the latest announcements.,shantanutiwar12,False,Tue May 02 06:39:17 +0000 2017,0,859296217666392064,
1,Facelift Cloud,@kraven0612 Hi kraven. Software rollouts are a phased process so the timing of Android upgrades will vary by countr… https://t.co/RoPpko1BiP,NestorDelS20,False,Wed Jan 31 20:40:56 +0000 2018,0,958802297978486785,
1,Facelift Cloud,"@T0NYSTARkK Hi Tony, please visit our support site for further assistance with your Nokia 6: https://t.co/ka8KutpSDv",T0NYSTARkK,False,Sun Feb 04 18:38:49 +0000 2018,0,960221117779709952,
0,Facelift Cloud,@LordBeerHunter Hello! You can browse available handsets in your region here: https://t.co/AgiDfKJaIM and to receiv… https://t.co/FNaMCQdsuS,LordBeerHunter,False,Thu Jan 25 11:45:18 +0000 2018,0,956493175610363905,
1,Conversocial,"@SirKneeland Hi John, they sure do. Hope you're excited to get your hands on one! 😃",SirKneeland,False,Wed Mar 01 11:24:15 +0000 2017,0,836899882325721088,
5,Twitter Web Client,"@Ashrafikings @nokia Looking good, Mubeen! 😎",Ashrafikings,False,Sat Sep 02 08:21:52 +0000 2017,2,903895739872542722,
8,Twitter Web Client,@NokiamobBlog Great shot!,NokiamobBlog,False,Sat Nov 18 15:31:33 +0000 2017,2,931907738740903942,
1,Twitter Web Client,@Nyaongas Awesome! Enjoy it. 😎,Nyaongas,False,Tue Dec 26 15:58:47 +0000 2017,0,945685332699295745,
