favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
35833,Twitter Ads,Make your old phone useful. Use it to try out the new Samsung #GalaxyS8. #UnboxYourPhone https://t.co/7agMxxrfWM,,False,Wed Mar 29 19:05:46 +0000 2017,6601,847162888510857217,
491,Twitter Web Client,"Get ready for typo-less typing. The #GalaxyTabS3’s Pogo keyboard is designed for fast, efficient, error-free typing. https://t.co/euqIWWJ7aK",,False,Thu Mar 16 20:40:46 +0000 2017,97,842475754596229121,['http://pbs.twimg.com/media/C7ETLMmWoAAxmcr.jpg']
31907,Twitter Web Client,"The Anthem. Proud sponsor of a world without barriers. #DoWhatYouCant #Rio2016 @Olympics https://t.co/blsWSsibJ2
https://t.co/z2iKu6zBGR",,False,Thu Jul 21 14:00:35 +0000 2016,7979,756126731929395201,
218,Sprinklr,Make the jump with a skydiving team toward the beautiful city of Rio de Janeiro. #Gear360 https://t.co/dOclnC2PuG,,False,Thu Aug 04 12:00:00 +0000 2016,53,761169815226683392,
204,Twitter Web Client,Change can be scary. That's why we created Smart Switch to make the data transfer process effortless. #GalaxyNote7,,False,Tue Aug 02 15:39:23 +0000 2016,78,760500250511544324,
638,Media Studio,Super dads aren't afraid of a little mud and neither is your dust and water resistant #GearS3. https://t.co/rmpaDksyL0,,False,Wed Dec 07 13:00:06 +0000 2016,164,806483422960963584,['http://pbs.twimg.com/media/CyaqL6EUcAAxq7a.jpg']
462,Twitter Web Client,The #GearS3 has multiple watch faces and is compatible with all 22mm watch bands to match your personal style. https://t.co/SGD9QR6rRo,,False,Wed Aug 31 16:27:47 +0000 2016,164,771021677694185472,['http://pbs.twimg.com/tweet_video_thumb/CrM4G8mWYAA7eNC.jpg']
1160,Twitter Web Client,"The #Gear360 and #GearVR work together so you can rethink the way you say ""Wish you were here"".
https://t.co/TbiPF3h7ta",,False,Sat May 21 16:36:14 +0000 2016,369,734060241453613056,
306,Twitter Web Client,"The #GearS3 has a built-in GPS, altimeter, barometer and speedometer so you can get lost without losing your way. https://t.co/rhZRLHmOeF",,False,Wed Aug 31 16:23:44 +0000 2016,128,771020659933708288,['http://pbs.twimg.com/media/CrM3KHMWYAACtkS.jpg']
919,Media Studio,Years of dedicated design led to this moment. This is the #GalaxyS8. #UnboxYourPhone #MilanDesignWeek https://t.co/d5y86bKpT3,,False,Fri Apr 07 12:59:02 +0000 2017,239,850332084837031937,['http://pbs.twimg.com/media/C8w4uIEUIAAgV-8.jpg']
375,Media Studio,Get motivated with the #GearSport and reach your fitness goals. https://t.co/7F7uKGF4zq https://t.co/AwRHv1KnW7,,False,Tue Oct 31 15:57:52 +0000 2017,66,925391378145689602,['http://pbs.twimg.com/media/DNemXhHUIAAo_Fp.jpg']
1009,Twitter Web Client,Words can't say what your face can. Tell volumes of your own stories with a camera that turns you into an emoji.… https://t.co/M0tGypQnak,,False,Sun Feb 25 17:39:01 +0000 2018,388,967816213920452609,
1180,Sprinklr,"Introducing the new #GearFit2, the lightweight, always-on GPS sports band. All of the features, none of the bulk. https://t.co/uNLPTvHlwm",,False,Thu Jun 02 21:00:01 +0000 2016,368,738475278524121090,['http://pbs.twimg.com/media/Cj-XWdyWUAAUW_M.jpg']
645,Media Studio,Music that moves with you. Cord-free wireless earbuds. #GearIconX https://t.co/P3AOSalZUc,,False,Thu Oct 26 16:00:04 +0000 2017,102,923579996010037250,['http://pbs.twimg.com/media/DNEnlz0XkAA6NiN.jpg']
19,Twitter Web Client,@caro_milanesi Just in time...,caro_milanesi,False,Wed Aug 31 16:13:11 +0000 2016,2,771018003391578112,
400,Media Studio,"When you can't resist a snowball fight, there's the water-resistant #GearFit2Pro. https://t.co/cN1h3WCW1A",,False,Wed Dec 20 13:15:56 +0000 2017,50,943470020964777984,['http://pbs.twimg.com/media/DRfgTIUXUAAbLKF.jpg']
185,Twitter Web Client,Your wallet is now on your wrist. #GearS3 works with Samsung Pay. #MST #NFC,,False,Wed Aug 31 16:22:55 +0000 2016,48,771020452349239297,
842,Twitter Web Client,"Introducing the official smartphone of the Rio 2016 Olympic Games. #Rio2016 #DoWhatYouCant https://t.co/4rpfqjkGqJ
https://t.co/3bZcNUykPO",,False,Thu Jul 07 14:00:19 +0000 2016,326,751053234995761152,
477,Media Studio,This is security. Until now. #GalaxyS8 #UnboxYourPhone https://t.co/t4kC3LKBjh,,False,Tue Jun 27 11:54:29 +0000 2017,106,879669258380132353,['http://pbs.twimg.com/media/DDU2a4IUIAAAjvo.jpg']
7059,Media Studio,The #GalaxyNote8 lets you turn ideas into possibilities. Say more with Live Message and the S Pen. https://t.co/ZzQXl9gyzs,,False,Thu Aug 31 12:38:28 +0000 2017,1211,903235537628274688,['http://pbs.twimg.com/media/DIju0DyWsAAiNHU.jpg']
