favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
0,TweetDeck,"@Chaseypants We're not offering a test run, but we're confident that you'll love it. Check out some more features h… https://t.co/Wc61iCjiDB",Chaseypants,False,Mon Dec 18 18:25:21 +0000 2017,0,942823112822927361,
27,TweetDeck,"@SmileBrojack Life will never be the same, Jack.",SmileBrojack,False,Sun Feb 25 22:21:58 +0000 2018,1,967887420871110661,
324,Twitter Web Client,"What's up, Austin?✌️

📷 Galaxy Note8. https://t.co/z4pVK3FqNY",,False,Sat Oct 07 19:10:46 +0000 2017,44,916742616368209920,['http://pbs.twimg.com/media/DLjsh3vW4AcTjhv.jpg']
2,Twitter Web Client,@tayljaso Welcome to the good life. https://t.co/OTkDUS2CSe,tayljaso,False,Mon Jul 31 21:45:34 +0000 2017,0,892139196596539392,['http://pbs.twimg.com/tweet_video_thumb/DGGDrkuXoAELCaW.jpg']
0,TweetDeck,@msdaniellenm 🙌,msdaniellenm,False,Thu May 04 14:45:25 +0000 2017,0,860143332764377089,
4,Twitter Web Client,@Renegade_Fox7 #GalaxyNote7 got you like https://t.co/5w7iq2thNa,JoeHaire__,False,Wed Aug 24 19:10:23 +0000 2016,0,768525881463730180,['http://pbs.twimg.com/tweet_video_thumb/CqpaKXFXEAAAIkf.jpg']
0,TweetDeck,"@raysiu33 Good timing, Ray. We have news coming your way today.",raysiu33,False,Sun Feb 25 17:12:17 +0000 2018,0,967809488244887554,
2,TweetDeck,@RobbyRayban It's water and dust resistant with an IP68 rating. Learn more: https://t.co/7y2zj3tNOV,R0botFisticuffs,False,Tue Apr 04 17:13:14 +0000 2017,0,849308895965216769,
0,TweetDeck,@fartboxBfurlyfe You never know. 😏,RMGplus0daysub,False,Wed Oct 25 00:01:50 +0000 2017,0,922976457256730625,
2,TweetDeck,"@cravingthecool Good news, you can grab them here: https://t.co/vGGS3wGuMa",cravingthecool,False,Mon Feb 27 19:25:09 +0000 2017,1,836296129914470400,
5,TweetDeck,@MADsMINDFREAK ❤️,MADsMINDFREAK,False,Sat Feb 25 15:10:18 +0000 2017,0,835507216987881472,
1,TweetDeck,@FatToSkinnyMexT You can paint with all the colors of the S Pen.,FatToSkinnyMexT,False,Thu Dec 21 22:08:27 +0000 2017,0,943966421146652674,
1,TweetDeck,@goolsbyjazz @BostonDotCom @VisitMA @CityOfBoston Great pic.,goolsbyjazz,False,Thu Jun 15 22:01:08 +0000 2017,6,875473273928200192,
1,TweetDeck,@eathan29 We do too. But it isn't too late to trade in your existing device: https://t.co/UNajf5Lvgj,eathan29,False,Tue Jan 09 19:31:42 +0000 2018,1,950812341389660160,
1,TweetDeck,"@michealjwallace Ah, bummer. Not this year, Jay. We'll miss ya.",michealjwallace,False,Mon Mar 13 18:55:58 +0000 2017,0,841362214414102537,
1824,Twitter Web Client,Pre-order the Galaxy Note8 now. We've got a different offer for every kind of Note user. https://t.co/uikA2A4Vec https://t.co/p15uchMcYP,,False,Thu Aug 31 19:38:29 +0000 2017,238,903341239533174784,['http://pbs.twimg.com/ext_tw_video_thumb/903341096662482944/pu/img/bSxq0Tq7n-EKk0Ym.jpg']
0,TweetDeck,"@BeerInBaltimore No news yet, but stay tuned.",BeerInBaltimore,False,Thu May 05 15:02:04 +0000 2016,0,728238338180849664,
1,TweetDeck,"@PS4toPS3Games 0 inbox, bravo, friend. 👏👏👏",PS4toPS3Games,False,Sat Mar 11 20:03:03 +0000 2017,0,840654322195152900,
12,Twitter Web Client,@godoftoast1 👌🏼,godoftoast1,False,Mon Feb 26 22:31:47 +0000 2018,0,968252280335228928,
1,TweetDeck,"@prowin077 Hi Prabin, please reach out to our support team for assistance. You can contact them directly here: https://t.co/wOtyUhA4zI.",tweetweetdotcom,False,Wed Sep 20 20:12:13 +0000 2017,0,910597485831303169,
2,TweetDeck,@JaymeFoxx That's a good looking phone. Wonder why the vid quality is so low though? 🤔,JaymeFoxx,False,Thu Dec 21 22:11:20 +0000 2017,0,943967147491028992,
65,TweetDeck,@iamTROL The Note8 has expandable storage. You can download more than that.,iamTROL,False,Mon Nov 06 18:12:37 +0000 2017,5,927599618728366085,
1,TweetDeck,@Bambi__lovely Don't worry. You can check in on our page for a recap. 👌,Bambi__lovely,False,Sun Feb 25 16:17:51 +0000 2018,0,967795787248885761,
0,TweetDeck,@MessieJessie007 ❤️❤️❤️,MessieJessie007,False,Tue Sep 19 21:54:34 +0000 2017,0,910260855757041666,
1,Twitter for Android,@MahmutK34958943 @SamsungMobile We hear you. 👂 Thanks for the input.,MahmutK34958943,False,Sat Nov 18 14:35:47 +0000 2017,0,931893702922047488,
1,TweetDeck,@manans51 Let's have our customer support team take a look at your delivery. Please reach out to https://t.co/wOtyUhA4zI for assistance.,manans51,False,Thu Nov 30 05:49:43 +0000 2017,1,936109969535102976,
1,TweetDeck,"@Thatboyxo We can't make that happen, but keep your eyes peeled for upcoming promotions.",thatboyXO,False,Wed Jul 27 19:00:11 +0000 2016,0,758376456540086276,
1,TweetDeck,@Therealpenson Pre-order starts March 2nd. Stay tuned. 🙏,Therealpenson,False,Mon Feb 26 23:04:19 +0000 2018,0,968260465607442435,
0,TweetDeck,"@tpang03 That's a good question for your tech support team, Tim. Check in with our support team by sending a messag… https://t.co/Iicutp0aIe",tpang03,False,Tue Oct 24 14:41:34 +0000 2017,0,922835461034389504,
109,Sprinklr,"Memories may fade, but your contact list will haunt you forever. #GalaxyS7edge https://t.co/BvsZchEg7z",,False,Thu Mar 16 15:41:47 +0000 2017,20,842400510980308993,['http://pbs.twimg.com/tweet_video_thumb/C7DOxoHVoAA-kVn.jpg']
3,TweetDeck,@PrestonToborg 🎉🎉🎉 Welcome to the good life.,PrestonToborg,False,Mon Dec 25 20:05:19 +0000 2017,1,945384983652429824,
1,TweetDeck,@ACEcaptain_T Hold on just a little while longer...,ACEcaptain_T,False,Wed Mar 08 15:14:13 +0000 2017,0,839494470093656064,
1,TweetDeck,@danseinokami  https://t.co/vukoMk6tEW,danseinokami,False,Tue Jan 23 15:31:41 +0000 2018,0,955825370028224517,['http://pbs.twimg.com/media/DUPGGrBXkAAiBSO.jpg']
2,TweetDeck,"@KittymomMary Hey Mary, our team at @SamsungSupport is on hand ready to help.",KittymomMary,False,Mon May 22 15:22:06 +0000 2017,0,866675542493454336,
1,TweetDeck,@ThisIzRydah Awesome sound for an awesome phone.,ThisIzRydah,False,Sun Apr 23 18:05:08 +0000 2017,0,856207326193340418,
3,TweetDeck,@Ethancg03 Trust us--you won't. 😎,Ethancg03,False,Sat Mar 03 22:32:13 +0000 2018,0,970064328656334848,
2,TweetDeck,@RockStarTchr Just download the Shop Samsung app and redeem it there. The hardest part is deciding which one to get. 🤔,RockStarTchr,False,Thu Sep 07 16:34:17 +0000 2017,1,905831599228547073,
2,TweetDeck,@D_Verner Loading music onto the headphones instead of using Bluetooth will help to preserve the battery.,D_Verner,False,Mon May 29 16:20:04 +0000 2017,1,869226848290574338,
1,TweetDeck,@KaleaT_22  https://t.co/QP6wBu2cNR,KaleaT_22,False,Tue Nov 14 21:07:26 +0000 2017,1,930542716668252160,['http://pbs.twimg.com/tweet_video_thumb/DOnzogIWAAAJcS0.jpg']
0,TweetDeck,"@mmacsweetpea92 If you're texting someone else with a Samsung you should be able to see that, Miranda.",mmacsweetpea92,False,Wed Jun 29 15:25:23 +0000 2016,0,748175537936424960,
2,TweetDeck,"@keeganlanier Once you have it in your hands, you're gonna fall in even more in love.",keeganlanier,False,Sat Oct 28 14:16:52 +0000 2017,0,924278796982857728,
1,TweetDeck,@JMANCILLA57 Do it. Do it. Do it.,JMANCILLA57,False,Sun Aug 14 15:52:09 +0000 2016,2,764852117278453761,
2,TweetDeck,"@mcneal_brayden We have a feeling you're going to love the new features, Brayden.",mcneal_brayden,False,Sun Feb 25 20:06:55 +0000 2018,0,967853433926639616,
0,TweetDeck,"@MRbraneSIC Hey Ben, sorry to hear this. Our support team should be better equipped to help. You can reach them her… https://t.co/LttmXKIGxm",MRbraneSIC,False,Fri Oct 20 18:30:17 +0000 2017,0,921443471956893696,
1,TweetDeck,@SplendaQueen General wear and tear is covered. You can confirm with our support team if your repair is covered: https://t.co/wOtyUhA4zI.,SaltLickBae,False,Thu Nov 30 21:51:01 +0000 2017,0,936351888156581888,
0,TweetDeck,@IgorTodorovic84 Nothing's holding you back now.,IgorTodorovic84,False,Sat Oct 28 17:52:08 +0000 2017,0,924332971208986624,
5,TweetDeck,@Waazzupppp Best of all worlds? We like to think so. #GalaxyNote7,Waazzupppp,False,Wed Aug 03 21:13:57 +0000 2016,0,760946833413836800,
1,TweetDeck,@AntiRacism4Eva Your family's safety is our priority. Read more here: https://t.co/MiqyvApbYC.,AntiRacism4Eva,False,Mon Aug 28 21:49:56 +0000 2017,0,902287158333108225,
1,TweetDeck,@dapperbeard_ Looks like No Shave November's gonna be an easy win.,dapperbeard_,False,Mon Oct 09 15:07:49 +0000 2017,0,917406250719170560,
2,TweetDeck,"@matt72967 We love the Note5, but hard to imagine going back after you have the Galaxy S8+ in your hands.",matt72967,False,Sat Apr 29 21:04:30 +0000 2017,0,858426790108332033,
77,Sprinklr,Beach season’s basically here. Wouldn’t it be cool to not have to keep your phone in a plastic bag all day? #GalaxyS7edge,,False,Fri May 13 20:00:06 +0000 2016,15,731212443448397825,
2,TweetDeck,@Geezy76Geezy  https://t.co/1V4tGUziYX,Geezy76Geezy,False,Sun Oct 08 14:17:29 +0000 2017,0,917031196365934592,['http://pbs.twimg.com/tweet_video_thumb/DLnzAB2X0AAFSTt.jpg']
0,TweetDeck,"@Rschiedel They'll arrive in no time, Robert. If you're concerned about your order, check in with our support team: https://t.co/wOtyUhA4zI.",Rschiedel,False,Thu Nov 02 15:18:35 +0000 2017,0,926106267747274752,
1,TweetDeck,@NotTheOtherGuy3 Enjoy. Now all that's left is deciding where you'll go first.,NotTheOtherGuy3,False,Sat Oct 29 20:45:04 +0000 2016,0,792467310556618752,
0,TweetDeck,@DjLuze Epic shots from an epic phone. 👌,DjLuze,False,Thu Sep 29 17:27:39 +0000 2016,0,781545989765201920,
96,Sprinklr,"“How did I do that again…?” Samsung+ helps you find answers to all your questions, anytime. https://t.co/NVO38ISXsv https://t.co/EambrFYKQr",,False,Thu Apr 07 16:48:01 +0000 2016,22,718118139637141504,['http://pbs.twimg.com/media/CfdEpJmW8AA9Zy2.jpg']
0,TweetDeck,@SonRose12 😋😋,,False,Sun Nov 19 21:34:58 +0000 2017,0,932361583766003712,
0,TweetDeck,"@zacharygrall Hi Zachary, sorry about your frustration. Have you reached out to @SamsungSupport for assistance?",zacharygrall,False,Tue Apr 05 16:53:21 +0000 2016,0,717394708130095104,
0,Twitter Web Client,@Daler_333  https://t.co/3fnn3Q0xdx,Daler_333,False,Tue Sep 12 22:07:58 +0000 2017,0,907727510934351872,['http://pbs.twimg.com/tweet_video_thumb/DJjlW2IXkAE2_cX.jpg']
0,TweetDeck,@BBella72 🙃,BBella72,False,Sat Jan 20 16:02:41 +0000 2018,0,954746009606909952,
2,TweetDeck,@zohaibs_tech Thanks for the bouquet. 😌,zohaibs_tech,False,Mon Jan 22 15:13:13 +0000 2018,0,955458336702517249,
129,TweetDeck,@Sixteen_digits 😎,Sixteen_digits,False,Mon Nov 06 15:21:33 +0000 2017,12,927556565779050497,
4,TweetDeck,@ChrisHipple @Fallout This is the first Galaxy S8 we’ve seen that’s ready to explore the Commonwealth (or the Capital Wasteland).,Gamesplaychris,False,Sun Jun 18 14:48:44 +0000 2017,1,876451621349339136,
1,TweetDeck,@imkevinchang You're living the good life. 😎,imkevinchang,False,Mon Mar 05 20:12:17 +0000 2018,0,970753890848329728,
3,TweetDeck,@YoungPedialyteJ Only the best for our #GalaxyLife fam. 🙌,YoungPedialyteJ,False,Tue Apr 26 21:21:49 +0000 2016,2,725072415529820160,
0,TweetDeck,"@BRE_END_UHH The #GalaxyNote7 is in stores 8/19, but contact your carrier or retailer for specific info.",Brendadenise89,False,Wed Aug 17 14:08:53 +0000 2016,0,765913293164834816,
3,TweetDeck,@Lunnaku You can send us DMs whenever. 😉,Lunnaku,False,Sat Oct 21 14:58:17 +0000 2017,0,921752508065894400,
0,TweetDeck,@heidilynn_b Hi there. Let's get you in touch with our support team at https://t.co/wOtyUhA4zI.,heidilynn_b,False,Tue Sep 26 18:24:59 +0000 2017,0,912744828429103106,
1,TweetDeck,"@jeremyyjohnson Hey there, glad you're enjoying it. Shoot your question over to @SamsungSupport for assistance.",jeremyyjohnson,False,Wed Apr 06 14:20:30 +0000 2016,0,717718628884463617,
54,Twitter Web Client,https://t.co/YUwI3bWUGE,SamsungMobileUS,False,Fri Feb 02 20:29:52 +0000 2018,8,959524288801005568,['http://pbs.twimg.com/ext_tw_video_thumb/959524240331542528/pu/img/qPdNLeEHLpv6SQR0.jpg']
2,TweetDeck,@jvcarroll Good thing - cause you take some amazing pictures.,jvcarroll,False,Sat Jun 10 18:18:58 +0000 2017,1,873605423894495232,
