favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
97,Sprinklr,Get 1-for-1 movie treat* when you use Mastercard® cards with Samsung Pay *T&amp;Cs apply. Visit https://t.co/NiZZdJAVLQ https://t.co/NmPKm3VUzT,,False,Fri Sep 23 10:00:01 +0000 2016,56,779259013515112449,['http://pbs.twimg.com/media/CtB78QkWYAA1RlM.jpg']
0,Sprinklr,"@DonnyWillard Hi Donny, we're sorry to hear about this. Our colleagues at the service centres will be able to advise you better! Thank you.",DonnyWillard,False,Fri Oct 27 04:37:28 +0000 2017,0,923770598500773888,
0,Sprinklr,@stevipebriani Thanks! :) We appreciate it &lt;3,stevipebriani,False,Thu Apr 27 01:11:27 +0000 2017,0,857401773249744896,
111,Sprinklr,Want a #GalaxyS8 in Orchid Gray? Favourite this tweet! https://t.co/st5LrrreEe,,False,Fri Apr 07 10:00:01 +0000 2017,15,850287035642413057,['http://pbs.twimg.com/media/C8zTjRfXYAEQZEu.jpg']
0,Sprinklr,"@Yasirmcheema Hi Yasir, please visit our customer service centres at Plaza Singapura or Westgate for further advise. Thank you.",Yasirmcheema,False,Mon Nov 06 01:54:00 +0000 2017,0,927353340970795008,
0,Sprinklr,@dansp9 the update will be available in Q2. Thank you!,dansp9,False,Tue Apr 04 08:49:23 +0000 2017,0,849182095272488960,
0,Sprinklr,"@OfficialBoards Hi, the drop test is part of our manufacturing process :) Thank you!",Jesterification,False,Wed Apr 05 02:38:26 +0000 2017,0,849451132753776640,
0,Sprinklr,"@laternowell Hi there, kindly drop us a call at 1800-GALAXYS as it's hard for us to check on this via Twitter. Thank you :)",laternowell,False,Mon Sep 18 09:59:31 +0000 2017,0,909718521478819841,
0,Twitter Web Client,Last week to win one of 3x Samsung AddWash™ Combo Washing Machines and sure-win rewards! Register by 28 Feb:… https://t.co/Y3F3NXBcAg,,False,Fri Feb 17 05:38:48 +0000 2017,0,832464293828308994,
0,Sprinklr,"@honeyneve Hi there, we're sorry to hear about this. Please DM us your contact details so that we can check this for you. Thank you.",honeyneve,False,Mon Nov 13 01:04:32 +0000 2017,0,929877607763664897,
0,Sprinklr,"@slameet_bing Hi bing, Bixby is available for the Singapore market, but do stay tuned for when Bixby Voice rolls in. :)",slameet_bing,False,Mon Aug 07 02:36:51 +0000 2017,0,894386828693864450,
5,Sprinklr,5 things to know about the #Samsung #GalaxyS8. Thank you for the feature @ChannelNewsAsia https://t.co/ypPSg58UUz,,False,Mon Apr 10 10:00:00 +0000 2017,1,851374194738823168,
0,Sprinklr,"@3CHEL0NS Hi, the Wireless Charger Stand (Convertible) retails at S$118. Thank you for your interest :)",3CHEL0NS,False,Mon Sep 04 01:52:00 +0000 2017,0,904522402385842176,
11,Twitter Web Client,Pre-order GalaxyA(2017) from 11-20Jan &amp; get an exclusive LINE FRIENDS Battery Pack + MicroSD card ! #GalaxyA2017… https://t.co/eISHzrgL2z,,False,Wed Jan 11 12:04:10 +0000 2017,6,819152923703660544,
4,Twitter Web Client,"In the spirit of the #UEFAChampionsLeague, RT if you think he scored, Like if you think he's gonna miss the goal! https://t.co/a7AUQSYx7j",,False,Tue Apr 05 04:20:20 +0000 2016,1,717205204148609024,['http://pbs.twimg.com/media/CfQGVO7WAAM-K8E.jpg']
7,Sprinklr,"Honestly, who else loves the DeX Station?! Read more here: https://t.co/i7pWmVV91v #GalaxyS8",,False,Thu Apr 06 10:00:00 +0000 2017,2,849924644878635008,
4,Sprinklr,Working out has never looked this good. RT for all your #workout buddies! #GearFit2 https://t.co/lGfXvDWriq,,False,Tue Jul 05 04:41:24 +0000 2016,3,750187802197893121,['http://pbs.twimg.com/media/Cmkz08JWIAAk0xp.jpg']
4,Sprinklr,Interior Design firms from SG participated in the inaugural Design-A-Feature-Wall with Samsung QLED TV contest. https://t.co/atk2YWxIbV,,False,Mon Jun 05 13:00:00 +0000 2017,1,871713214400270336,
3,Sprinklr,Who else here loves the design of #GalaxyS8 as much as we do? Read about @Zaobao's featured post on us here: https://t.co/RtmXk8WFOd,,False,Mon Apr 17 10:00:00 +0000 2017,1,853910910271975425,
0,Sprinklr,"@_Wookroro Hi Wookroro, unfortunately this promotion is for new purchases of the Galaxy S8|S8+ with contract, colour changes is not covered.",_Wookroro,False,Mon Jul 10 04:41:53 +0000 2017,0,884271432720691200,
