favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
0,Sprout Social,"@Sunnyluhar Hi there, We are working with our reseller on Amazon to stock the Axon 7 ASAP. Thanks for your patience, the ZTE UK team.",Sunnyluhar,False,Mon Aug 22 17:05:45 +0000 2016,0,767769739804323840,
0,Sprout Social,@ashleyxlife Thanks Ashley! What did you think of our Blade V7?,ashleyxlife,False,Mon Aug 15 15:47:42 +0000 2016,0,765213384111366148,
1,Twitter for iPhone,Hi Bigben. Axon 7 Mini #BigBen #London #Axon7Mini https://t.co/aTNHJJ285c https://t.co/cClU9kxuVe,,False,Thu Mar 16 08:09:39 +0000 2017,0,842286727461015552,['http://pbs.twimg.com/media/C7BnTv-W0AA5MRP.jpg']
1,Sprout Social,@richie_316 We're getting a lot of questions in already since the announcement. We're just as excited for the launch here at ZTE UK.,richie_0316,False,Fri May 27 15:26:41 +0000 2016,0,736217065535725570,
1,Sprout Social,"@richie_316 Hi Richard, We haven't heard from you in a while! Thanks again for your support of ZTE.",richie_0316,False,Fri May 27 08:12:23 +0000 2016,1,736107771641376768,
1,Sprout Social,@cherrycicely We love this! Thanks for sharing,cherrycicely,False,Mon Aug 15 16:39:49 +0000 2016,0,765226500119343104,
1,Twitter Web Client,"@richie_316 great, looking forward to seeing you there! @CPWTweets @KissFMUK",richie_0316,False,Fri Sep 09 15:36:21 +0000 2016,0,774270224124129281,
1,Sprout Social,"@T3dotcom Thanks for your review. It's great to see that you like our Axon 7. Thanks again, the ZTE UK team.",T3dotcom,False,Thu Jul 07 05:58:32 +0000 2016,1,750931988719087616,
1,Sprout Social,"@stacyblack_ Hi Stacy, thanks for the pic! Hope you had a good time at #SitC2016",stacyblack_,False,Mon Aug 15 15:00:04 +0000 2016,0,765201397067415552,
0,Sprout Social,"@turnitoffthenon Hi Daniel, Our Axon 7 will be available to order via our reseller on Amazon: https://t.co/obp9uyrJna. Thanks, ZTE UK team",turnitoffthenon,False,Thu Aug 04 11:09:36 +0000 2016,0,761157133291225089,
1,Sprout Social,Keep track of your friends in the crowd with our 4G LTE connectivity Blade V6: https://t.co/LIQPc1HsD7 #glastonbury https://t.co/77YgCZbvUO,,False,Thu Jun 23 07:00:10 +0000 2016,1,745874067895492608,['http://pbs.twimg.com/media/Clnggf0WAAAPPhe.jpg']
0,Sprout Social,"@f1alanw You can take it to local retailers, like Carphone Warehouse, and they can see if they can repair it. Thanks, ZTE team 2/2",f1alanw,False,Tue Nov 29 10:12:33 +0000 2016,0,803542153427349505,
3,Sprout Social,"@beingsixtyone @AndyBartlett5 Watch this space guys, it's coming!  Thanks, the ZTE UK team.",beingsixtyone,False,Wed Jun 29 08:09:24 +0000 2016,1,748065819188297728,
0,Sprout Social,"@edaross Hi, thanks for your tweet. We are awaiting news on this from our team at HQ. Thanks, the ZTE UK team.",edaross,False,Tue Jun 28 09:59:45 +0000 2016,0,747731201541144577,
0,Sprout Social,"@Rick_Air Hi Rick, thanks for your tweet. Please see more info on our Axon 7 here: https://t.co/msesbbLka5.",Rick_Air,False,Mon Jul 04 13:49:16 +0000 2016,0,749963289422139392,
1,Sprout Social,@Max_Warman We hope you like it! 'Mini' is all relative we think :),Max_Warman,False,Fri Dec 30 12:23:23 +0000 2016,0,814809104346730497,
5,Twitter Web Client,Fun and games @intuMetrocentre! #ZTETour https://t.co/PQVOJpaGHm,,False,Fri Sep 16 15:39:07 +0000 2016,2,776807634276085761,['http://pbs.twimg.com/media/CsfGRTkWAAAnXH5.jpg']
1,Sprout Social,"@AndyBartlett5 Glad to hear you're as excited as we are, Andy! Watch this space! Thanks, the ZTE UK team.",AndyBartlett5,False,Wed Jun 29 09:14:57 +0000 2016,0,748082314018586624,
0,Sprout Social,"@RichardWuite Hi Richard, thanks for your tweet. Our release will vary from country to country. The ZTE UK team.",,False,Tue Jun 28 15:57:14 +0000 2016,0,747821166308507649,
0,Sprout Social,"@G_Karayannis Hi George, thanks for your tweet. Unforuntaley, we do not sell replacement parts for our devices. Thanks, the ZTE UK team",G_Karayannis,False,Mon Jun 13 12:45:36 +0000 2016,0,742337123429322752,
0,Twitter for iPhone,@swanny building exam is a tough one. Your brother is awesome.,swanny,False,Thu Apr 06 21:47:19 +0000 2017,0,850102646727991296,
0,Twitter for iPhone,@3ASMO3 hi there??,3ASMO3,False,Fri Mar 24 16:41:20 +0000 2017,0,845314598886608896,
1,Twitter for iPhone,@SBennifer happy Friday:),SBennifer,False,Fri Mar 24 20:34:04 +0000 2017,0,845373170626543617,
0,Twitter for iPhone,"@mattsslug Well, shame on it... It is a lovely gadget!! But we will bring more great products with good price into the GB!!",mattsslug,False,Wed Apr 05 21:34:32 +0000 2017,0,849737042644914180,
0,Sprout Social,"@malarkyarts Hi Andy, We don't have a release date/price for this at the moment. Keep an eye out on our social channels for updates!",malarkyarts,False,Mon Aug 15 16:36:53 +0000 2016,0,765225763121434624,
2,Sprout Social,Stay ahead of the curve with the 2.5D curved glass edge on the #BladeV7 #smartphone. https://t.co/ntJEK3WLpO,,False,Thu Apr 28 11:00:06 +0000 2016,0,725640732032143361,['http://pbs.twimg.com/media/ChH-ZqTUcAAcWTD.jpg']
2,Sprout Social,"@harry_axon We apologise for the delay. We are working with our reseller on Amazon to restock our Axon 7 ASAP. Thanks, the ZTE UK team.",harry_axon,False,Wed Oct 12 14:07:36 +0000 2016,0,786206687883501568,
0,Sprout Social,"@SaberCutsADash Hi there, We do not have an exact date for the timings of our quartz grey launch just yet. Thanks, the ZTE UK team.",SaberCutsADash,False,Thu Jul 07 05:59:25 +0000 2016,0,750932212758052864,
2,Sprout Social,The #weekend's almost over. How have you spent yours?,,False,Sat Oct 15 16:00:09 +0000 2016,1,787322178261782528,
0,Twitter for iPhone,"Let's check out the ZTE BLADE V7 Lite customer reviews. Good product should at good price, do you think so?? Save £… https://t.co/0G1N4dmDlz",,False,Thu Apr 20 14:09:44 +0000 2017,0,855060919826751488,
1,Sprout Social,@richie_316 Thanks Richard!,richie_0316,False,Thu Sep 01 16:51:05 +0000 2016,0,771389928311619584,
1,Sprout Social,@richie_316 We're sorry to hear that Richard. Hope you get better soon!,richie_0316,False,Fri May 27 15:41:28 +0000 2016,0,736220784616603651,
1,Sprout Social,@McFlys_Smile Thanks for sharing!,McFlys_Smile,False,Tue Aug 30 15:06:00 +0000 2016,0,770638709670588416,
0,Sprout Social,"@LLattelover4 Thanks for sharing Lynda, we hope you had a great weekend!",LLattelover4,False,Tue Aug 16 16:32:35 +0000 2016,0,765587067334033409,
4,Twitter for iPhone,Only a couple of hours for your chance to win a Blade V7 Lite at #SitC2016! #ZTEatSitC https://t.co/mfDUR4OH9G,,False,Sun Aug 14 18:10:38 +0000 2016,3,764886967314153472,['http://pbs.twimg.com/media/Cp1soq8WgAEwWnY.jpg']
0,Twitter for iPhone,"@richkerz @AxonPhone apologies for it. If you are holding Axon Elite, please come to us..... Drop us the DM about your questions and email.",richkerz,False,Thu Apr 06 19:01:39 +0000 2017,0,850060952489918464,
1,Sprout Social,"@grandexmaynard No problem, Izzy! Glad you liked it!",deIuxeheart,False,Tue Aug 16 16:31:51 +0000 2016,0,765586884315582466,
0,Sprout Social,@AndyBartlett5 #letsgoaxon7 We love the hashtag! The ZTE UK team.,AndyBartlett5,False,Wed Jun 29 09:23:39 +0000 2016,0,748084503965401090,
0,Twitter for iPhone,"@IgnitedPlays hi mate, both of us need to wait for the announcement:)",PringlesAddict,False,Mon Mar 20 21:58:31 +0000 2017,0,843944869269852161,
0,Sprout Social,"@PaymentsensEA Hi there, We are sorry to hear about your phone screen. Please send us a DM with details about your device so we can help.",PaymentsensEA,False,Fri Dec 23 10:47:53 +0000 2016,0,812248357687226368,
0,Twitter Web Client,@Capt_Cornflake cheers~ 😀😀,Capt_Cornflake,False,Mon Apr 03 19:51:02 +0000 2017,0,848986218553647106,
0,Twitter for iPhone,"@vy_rule hi, do you know your Axon 7 from which seller and country?",vy_rule,False,Wed Apr 05 21:42:20 +0000 2017,0,849739001959469057,
0,Twitter Web Client,@claremarillat Happy to hear! Watch this space for the official UK launch later this year... #ChargeYouUp #ZTEatSitC,claremarillat,False,Sun Aug 14 15:08:23 +0000 2016,0,764841103312977921,
0,Sprout Social,"@GioIsBrown Hi Gio, Our Axon 7 is only available via our reseller online at https://t.co/BFFKPo3wMO. We hope that helps, the ZTE UK team.",GioIsBrown,False,Thu Jul 14 08:55:37 +0000 2016,0,753513270506508288,
6,Sprout Social,The #BladeV7Lite 8MP front #camera with flash meets all your #digital needs. #ChargeYouUp https://t.co/l4f2t6qHbN,,False,Fri Aug 26 13:25:02 +0000 2016,3,769163746145017856,['http://pbs.twimg.com/media/CqyeWW9VMAExA1E.jpg']
3,Twitter Web Client,We showed off some of our @GoogleVR-certified devices at #CES2017 this year. What was your favourite @CES moment?… https://t.co/gmmpS0ZLp2,,False,Mon Jan 09 14:19:17 +0000 2017,1,818462148322070529,
25,Sprout Social,"Thanks to its optical stabilizer technology, expect even the un-steadiest of #photos to be crystal clear #zte #Axon7 https://t.co/UxxcZrIEUb",,False,Tue Jun 28 17:30:06 +0000 2016,8,747844538530566144,['http://pbs.twimg.com/media/CmDgpJjWEAA8AZ6.jpg']
1,Sprout Social,"@Saxon_Holbrook Thanks, Saxon. Have a great day!",Saxonous,False,Fri Sep 16 09:31:15 +0000 2016,0,776715060886380544,
0,Sprout Social,"@DrDoNothing123 Hi there, there may be some compatibility differences between our Chinese and UK devices. This will be confirmed on launch.",DrDoNothing123,False,Thu Jun 02 15:22:41 +0000 2016,0,738390388407312385,
0,Sprout Social,@JarlSX Hi there we do not have an official launch date but it will be closer to the end of this year. It'll be worth the wait!,JarlSX,False,Wed Jun 08 08:07:23 +0000 2016,0,740455168202969088,
0,Sprout Social,"@wilbur_f @Saxon_Holbrook Alternatively, here is a link to our global customer service contact centres: https://t.co/hwMcdXIjX2 3/4",wilbur_f,False,Thu Nov 17 11:37:59 +0000 2016,0,799214999201783808,
1,Sprout Social,"@kadi_xox That is a great post, Kadi! Thanks for sharing.",kadimusic,False,Mon Aug 15 15:58:04 +0000 2016,0,765215994793066496,
0,Sprout Social,"Hi @Ja55ie, thanks for getting in contact. Unfortunately the Axon 7 does not support DisplayPort Alternate (ALT) mode. Thanks, ZTE team",Ja55ie,False,Tue Nov 22 12:07:50 +0000 2016,0,801034450511360000,
0,Sprout Social,"@Chrisinhd720p Hi Chris, We're sorry to hear about your Axon Elite. Please send us a DM with more information so we can help. Thanks",Chrisinhd720p,False,Fri Dec 23 15:57:11 +0000 2016,0,812326194985234432,
3,Sprout Social,@beingsixtyone @AndyBartlett5 You won't be disappointed!,beingsixtyone,False,Thu Jun 23 13:42:15 +0000 2016,1,745975258663034880,
0,Sprout Social,"@lbhgaz Hi Gary, We do not have plans to launch this version in our initial release. Keep an eye out on social for any news on this.",lbhgaz,False,Thu Jun 30 11:03:33 +0000 2016,0,748472033063768064,
0,Sprout Social,"@ling142 Hi Thomas, We do not have plans to launch this version in our initial launch. Please see more info here: https://t.co/FEsUs3ehZK",ling142,False,Thu Jun 30 11:02:06 +0000 2016,0,748471669010751488,
0,Sprout Social,"@CallumJH_ Hi Callum, thanks for your tweet. How can we help? Feel free to send us a DM so we can provide assistance https://t.co/frTO0JeAcM",CallumJH_,False,Mon Jul 25 16:08:31 +0000 2016,0,757608479464972288,
2,Twitter for iPhone,Frrrrrrrrrrrriday Night!!!!!! Rock n Roll!! https://t.co/eXQBoogsmB,,False,Fri Mar 10 19:49:50 +0000 2017,0,840288608753987584,['http://pbs.twimg.com/media/C6lOB74XUAMvcya.jpg']
5,Twitter Web Client,Because life's better in #VirtualReality! #ZTETour https://t.co/9ewwz6jibs,,False,Sat Sep 17 11:00:49 +0000 2016,2,777099987587067904,['http://pbs.twimg.com/media/CsjQLFFXYAAFxyU.jpg']
0,Sprout Social,"@SaberCutsADash Hi there, we will need to touch base with our team for this info. We'll let you know once we hear back!",SaberCutsADash,False,Wed Jun 29 09:13:52 +0000 2016,0,748082042668101632,
0,Sprout Social,"@Chipz2803 The handset will be available to by the end of this month. Thanks, the ZTE UK team.",MobilesDirect2u,False,Fri Sep 16 12:42:43 +0000 2016,0,776763244329316354,
0,Sprout Social,"@werfma Hi there, please get in touch with your reseller if the device is still under warranty for repairs/a replacement. Thanks, ZTE UK.",werfma,False,Thu Jun 02 10:36:02 +0000 2016,0,738318249843150848,
3,Twitter for iPhone,Apologies for any offense #MagicTogether may have caused. We worked w/ trusted partners to ensure 100% well-being for the horses cc @ThreeUK,,False,Wed Oct 26 16:39:11 +0000 2016,0,791318268971773952,
0,Sprout Social,"@Angryatoneplus Thanks, Do let us know if you decide to purchase one. We'd love to hear your experiences. Thanks again, the ZTE UK team.",Angryatoneplus,False,Thu Aug 04 10:48:44 +0000 2016,0,761151880462475264,
