favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
11,TweetDeck,"@SebastianDalkn YAS. DEV TEAM, ASSEMBLE.",SebastianDalkn,False,Fri Jun 23 21:57:05 +0000 2017,1,878371358303854592,
395,Twitter Web Client,"Thanks to #TeamHTC for tuning in all over the world for the first look at U Ultra. Another innovative step forward,… https://t.co/TmE7lMA47j",,False,Thu Jan 12 08:48:24 +0000 2017,104,819466045047980032,
1,TweetDeck,@black_ray2003 The only way to fix that is to pick one up. ;),,False,Fri Jul 07 22:18:17 +0000 2017,0,883450120846561280,
2,TweetDeck,@DR_Abo_Hadi Much squeeze. Much love.,Drabohadi,False,Thu Jun 29 18:37:03 +0000 2017,1,880495343934226433,
99,Twitter Web Client,Today's the last day to submit your #BrilliantU entry for a chance win a trip to visit our design studio + more:… https://t.co/Q3MCRqBO8r,,False,Sun Feb 19 17:05:34 +0000 2017,12,833361900058480640,
1,TweetDeck,@rsvp89 Your feedback is highly appreciated and will help us to improve or make changes on our future products. Thanks!,rsvp89,False,Tue Feb 14 18:52:07 +0000 2017,1,831576772214796288,
1,TweetDeck,@xetho__ @adi_5222 @Ghug_Na @MKBHD You can learn all sorts of science in school.,xetho__,False,Wed Jul 12 20:36:23 +0000 2017,0,885236415533010944,
0,Lithium Tech.,"@AqelMurad Hi there! We don't have all the specifics on Android Oreo just yet, but stay tuned here for all the late… https://t.co/XRp8uBf6xq",AqelMurad,False,Sat Oct 07 18:51:15 +0000 2017,0,916737703789469696,
0,Lithium Tech.,@Smartphone_G Hi! Thank you for contacting HTC. We don't comment or speculate on rumors or future updates of HTC pr… https://t.co/71KdNu0Hj9,Smartphone_G,False,Tue Dec 26 17:01:10 +0000 2017,0,945701030636937216,
10,Twitter Web Client,"@nwitts427 If stunning design, great photos, and top quality audio matter to you, then you'll love what the #HTCU11 is all about.",nwitts427,False,Tue May 16 09:37:52 +0000 2017,0,864414590095970304,
1,TweetDeck,@akyrawat1  Hi! We're sorry you’ve had such an experience. Please tell us more about your concern. We’d like to try and help. Thanks!,akyrawat1,False,Fri Feb 10 20:12:26 +0000 2017,0,830147436257517568,
0,Lithium Tech.,@KRMAK8 Please send us a Direct Message (DM).,KRMAK8,False,Thu Jan 04 18:21:56 +0000 2018,0,948982846374387712,
0,Lithium Tech.,"@ImVRathi Hi! We'd love to help. Try the Line Drawing Test now then let us know about the results right away, https://t.co/BSbi7C8Yco.",ImVRathi,False,Tue Oct 24 16:07:51 +0000 2017,0,922857178121170944,
199,Sprinklr,"It's a new BOOM. With HTC BoomSound Adaptive Audio on the #HTC10evo, every note, nuance &amp; tone gets tuned to you.… https://t.co/XMclR47pBv",,False,Sat Dec 10 19:30:12 +0000 2016,44,807668759217500161,
204,Sprinklr,Fresh for 2016 – the new Desire 10 lifestyle. #BeEdgier #powerof10 https://t.co/qJ9XDwNqEU https://t.co/HUeIvmbJgd,,False,Wed Sep 21 15:00:05 +0000 2016,67,778609753006243840,['http://pbs.twimg.com/media/Cs4tcUdWIAQlxfb.jpg']
0,Lithium Tech.,@Iam_tboi HTC Alexa is available in HTC U11. For further details please check this link: https://t.co/9h8xns7YA8,Iam_tboi,False,Mon Jul 17 22:01:18 +0000 2017,0,887069727893315585,
2,Sprinklr,@sunokelly What do you mean?,sunokelly,False,Wed Apr 13 20:53:00 +0000 2016,0,720354120788418561,
0,Lithium Tech.,@jaynes_garrett Hi! What do you mean? Please tell us more details of what's happening so we can help. Thanks!,jaynes_garrett,False,Tue Aug 29 20:17:46 +0000 2017,0,902626348409040897,
0,TweetDeck,@NOVAD_ANDRETTI Sounds like a question for T-Mobile. However our Unlocked Edition is fully compatible with their network.,NOVAD_ANDRETTI,False,Wed Aug 02 19:22:09 +0000 2017,0,892827881637789696,
1,Lithium Tech.,@tixzx Hi! Try this fix: Go to Settings &gt; Apps &gt; All &gt; Snapchat &gt; (Storage) &gt; Clear cache and data. Please do the same with your camera app.,tixzx,False,Sun Mar 26 15:55:49 +0000 2017,0,846027921315672064,
0,TweetDeck,@love12062096 Awesome! How is everything with you and your HTC U11?,love12062096,False,Fri Oct 13 17:45:49 +0000 2017,0,918895562623086592,
0,TweetDeck,@ShreepadGokhale We're stoked to bring Android 8.0 Oreo to the HTC U11! Timing and other details to be announced in the near future.,ShreepadGokhale,False,Wed Oct 25 17:55:52 +0000 2017,0,923246747656232960,
0,Lithium Tech.,@hanafymah Hi! Pls try soft reset by pressing and holding power + volume down button for 15 sec. For further assist… https://t.co/6BrL5gJZOc,hanafymah,False,Tue Nov 21 21:25:30 +0000 2017,0,933083978453491712,
0,TweetDeck,@MichSaadeh @HTCelevate That might make it difficult to open... ;),MichSaadeh,False,Thu Jun 15 20:23:35 +0000 2017,0,875448723664326656,
0,TweetDeck,"@therealslimfaby USonic earbuds offer better sound, personalized sound and active noise-cancellation. A USB-C to 3.… https://t.co/tKNqB88BYs",therealslimfaby,False,Tue May 16 09:30:34 +0000 2017,0,864412749895393281,
7,TweetDeck,@Mohammed7at7ut Thanks for being a part of #TeamHTC! We know you'll love what the #HTCU11 is all about. :),Mohammed7at7ut,False,Tue May 16 09:43:40 +0000 2017,0,864416047432048640,
1,Lithium Tech.,"@wGrantTownsend Hi! We'd love to help. DM us your name, email, IMEI, ticket and tracking number (if available) &amp; co… https://t.co/cJe8DMz0E3",wGrantTownsend,False,Sun Nov 05 20:47:30 +0000 2017,0,927276206084390912,
323,Lithium Tech.,The Amazing Silver HTC U Ultra is all about you. Regional availability may vary. https://t.co/268WS3psW0,,False,Mon Jul 31 19:00:22 +0000 2017,55,892097622218989568,['http://pbs.twimg.com/media/DGFeDooVoAAUERj.jpg']
0,Lithium Tech.,@MystiqueAgent Hi! Follow these steps: https://t.co/7soCZhWVcR. Let us know if issue persists. You can also contact… https://t.co/KwvcULLUae,,False,Sat Nov 11 16:03:16 +0000 2017,0,929379003567292422,
2,TweetDeck,@Dandan217 Thank for your interest! Please click on the link to view opportunities: https://t.co/J8VUQjgkVi,Dandan217,False,Tue Feb 07 18:59:52 +0000 2017,0,829042010472402944,
164,Twitter Ads,The HTC U Ultra is all about U. See what real people had to say when we put it in their hands for the first time. https://t.co/HhDj1mey79,,False,Tue Jan 24 18:00:07 +0000 2017,30,823953540796141568,['http://pbs.twimg.com/media/C28pus1UUAApCd_.jpg']
0,Lithium Tech.,@x3opyo Hi! Software updates are created by Google and are sent by service providers to phone users by batch. Pls c… https://t.co/kMVW1Vkzyn,x3opyo,False,Mon Jul 31 18:05:18 +0000 2017,0,892083764108472320,
