favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
62,Twitter Web Client,"The F1 Plus is light, thin and comfortably fits your hand.
#OPPOF1Plus #SelfieExpert https://t.co/tcDugNTP8v",,False,Wed Jun 15 02:03:38 +0000 2016,21,742900342254247938,['http://pbs.twimg.com/media/Ck9P7IiVAAA9R9_.jpg']
138,Twitter Web Client,"""Your life does not get better by chance, it gets better by change."" –Jim Rohn
#OPPO #MondayMotivation https://t.co/7ZUQN2eBUL",,False,Mon Sep 26 08:05:10 +0000 2016,51,780317274779492357,['http://pbs.twimg.com/media/CtQ94aKUIAAI4-Y.jpg']
65,Twitter Web Client,What makes you even more beautiful? #OPPOF1s #SelfieExpert https://t.co/SwNwQALBcx,,False,Tue Jul 26 08:00:53 +0000 2016,15,757848147418722304,['http://pbs.twimg.com/media/CoRqvPQUEAQIQ0f.jpg']
104,Twitter Web Client,"""Go confidently in the direction of your https://t.co/6SXBi05Tvr the life you have imagined."" –Henry David Thoreau https://t.co/HLyZ55mBaS",,False,Mon Sep 19 02:50:08 +0000 2016,33,777701276708577281,['http://pbs.twimg.com/media/CsrzAJXUMAIgdzR.jpg']
1002,Twitter Web Client,#OPPOF3Plus with it's #DualSelfieCamera! Take wide-angle photos easily! For more information:… https://t.co/uB41CqURuT,,False,Mon Mar 27 03:48:43 +0000 2017,261,846207327644631040,
70,Twitter Web Client,"Get your F1 Plus on Amazon:
DE: https://t.co/01qdeY61M7 UK: https://t.co/7iFjtnRArN FR: https://t.co/xtptACh7s6 https://t.co/xE1pRbyPaW",,False,Fri Jul 01 10:14:15 +0000 2016,11,748822015818207232,['http://pbs.twimg.com/media/CmRYnJGXYAA4cyS.jpg']
55,Twitter Web Client,"""You can never cross the ocean until you have the courage to lose sight of the shore."" –Christopher Columbus #OPPO https://t.co/I9bfwV3881",,False,Mon Jul 25 01:41:40 +0000 2016,13,757390329523769345,['http://pbs.twimg.com/media/CoLKKFjVIAEtNZS.jpg']
65,Twitter Web Client,"Sweeten up your weekend with the #OPPOF1
Available on Amazon UK, France and Germany. https://t.co/n8LbszTqnp",,False,Fri Apr 29 08:40:32 +0000 2016,14,725967993042141184,['http://pbs.twimg.com/media/ChMoCepU4AAXWQq.jpg']
91,Twitter Web Client,"Take a closer look at ultra-thin 1.66 mm bezels of the F1 Plus
#OPPOF1Plus #SelfieExpert https://t.co/eDrBJAr6Bo",,False,Tue Jun 21 10:34:43 +0000 2016,22,745203286777593856,['http://pbs.twimg.com/media/Cld-XyOWIAAQKV3.jpg']
52,Twitter Web Client,Take in the sunlight with your #OPPOF1. https://t.co/24zZPKDdVk,,False,Tue Apr 12 08:07:40 +0000 2016,23,719799128268492800,['http://pbs.twimg.com/media/Cf09fZyUkAE99Mo.jpg']
