favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
1,Radian6 -Social Media Management,"@islandliving365 @islandliving365 This is a great picture you took there with your Xperia!

Good luck!

Mary",islandliving365,False,Fri Dec 08 11:06:54 +0000 2017,0,939088895769305088,
32,Twitter Ads,"Enjoy every sparkle of the fireworks this bonfire night. 

Share your most striking shots using #WowOfNow https://t.co/9cLV7NwWmP",,False,Sat Nov 05 12:00:07 +0000 2016,6,794871914569183233,['http://pbs.twimg.com/amplify_video_thumb/794591518250115074/img/L30E3gr7Q2FOH8r5.jpg']
0,Radian6 -Social Media Management,@thecharleskerr Hi Charles. The Xperia XZ Premium is currently up for pre-order here: https://t.co/6JsGijUGoP,thecharleskerr,False,Mon May 15 11:54:14 +0000 2017,0,864086518478098432,
0,Radian6 -Social Media Management,"@adaletihimaye @adaletihimaye,Hi!

If you have any questions regarding Sony PlayStation, please contact @AskPS_UK!… https://t.co/Ctu54lEffE",adaletihimaye,False,Mon Sep 18 11:14:00 +0000 2017,0,909737263076139008,
0,Radian6 -Social Media Management,@frodj10 I would suggest contacting our technical support team directly on 08705237237 to discuss this issue further with an agent.,frodj10,False,Mon Dec 05 15:25:26 +0000 2016,0,805795222072492032,
2,Stream Publisher,"@Missgingerjones Hi Cassandra. Lovely photos, looks like fun! Thanks for sharing.",Missgingerjones,False,Tue Jun 21 13:53:03 +0000 2016,1,745253197573398528,
0,Radian6 -Social Media Management,@derbylad90 I would suggest contacting our technical support team directly on 03705237237 to discuss this issue further with an agent.,derbylad90,False,Fri Dec 16 11:52:33 +0000 2016,0,809727914979786753,
69,TweetDeck,"Beautiful, whichever way you look at it. #Xperia https://t.co/AZVxPZjcsr",,False,Tue Apr 11 18:03:01 +0000 2017,11,851858138819158017,['http://pbs.twimg.com/media/C9HxIAiW0AAxcP4.jpg']
0,Radian6 -Social Media Management,"@jabg77 Hi @jabg77, Please send me follow me and send me a DM so I can provide you with the information you requested. - Electra",jabg77,False,Thu Jul 20 13:34:11 +0000 2017,0,888029271364702209,
0,Radian6 -Social Media Management,"@LeahJayex Hi @LeahJayex!

Your device's charging time is approximately 3 hours normally.

You can see more details… https://t.co/hzEvF2syrW",LeahJayex,False,Tue Mar 06 12:51:24 +0000 2018,0,971005323900317697,
