favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
16,Twitter Web Client,Introducing the Xperia L1. Extraordinary Sony smartphone design and performance. https://t.co/7wxFeE1TNB,,False,Mon Mar 20 23:01:07 +0000 2017,5,843960625906761729,
0,Twitter Web Client,"@NateHill @BestBuy Hey Nate, it's https://t.co/trCQNhMsux",NateHill,False,Mon Apr 10 17:29:38 +0000 2017,0,851487348244217857,
18,Twitter Web Client,Big and Borderless. Get the Sony Xperia XA1 Ultra today: https://t.co/GgqMe0BJPc https://t.co/LFwJNWsxkY,,False,Wed Jul 12 20:10:59 +0000 2017,4,885230024961531904,['http://pbs.twimg.com/ext_tw_video_thumb/885229148528103426/pu/img/2sOFE9gn3CGCt1Ks.jpg']
9,Twitter Web Client,"One more day until the release of Uncharted 4. To celebrate, we'll drop a digital copy of the game in 5 US cities each day starting tomorrow",,False,Mon May 09 23:47:27 +0000 2016,1,729820105333460992,
9,Google,Jumanji Xperia Red Carpet Recap: https://t.co/DU2JYX8b2X via @YouTube,,False,Wed Dec 20 20:13:50 +0000 2017,1,943575189245366272,
1,Twitter Web Client,@AlphaFoxWarfare Not yet. This summer though.,AlphaFoxWarfare,False,Wed Apr 20 18:14:45 +0000 2016,0,722851010868162560,
45,Twitter Web Client,"With Sony's technology and design innovations working together, the #Xperia XZ2 is beautiful both inside and out.… https://t.co/YyuBVTr8dq",,False,Thu Mar 01 17:23:42 +0000 2018,23,969261912004308992,
7,Google,Xperia X SteadyShot Comparison: https://t.co/bkkUAJI7qm via @YouTube,,False,Fri May 20 01:13:40 +0000 2016,0,733465684156407810,
22,Twitter Web Client,Xperia XZ Platinum and Ear bundle is live on @SonyRewards Bid now! https://t.co/RwtOcXunpF https://t.co/eQ3PNMcmiR,,False,Fri Feb 17 20:40:41 +0000 2017,3,832691258019700736,['http://pbs.twimg.com/media/C45QLGDWcAELLJ3.jpg']
206,Twitter Web Client,"Now available in the US, the Xperia X Performance. 

https://t.co/W0nEJ0U1AL https://t.co/vW9XtBkfYj",,False,Tue Jul 19 00:06:34 +0000 2016,33,755192069048692736,['http://pbs.twimg.com/tweet_video_thumb/Cnr6x4zXgAAdTQF.jpg']
0,Sprout Social,@James_CPhT 960FPS FTW! Stay warm out there,King_James4life,False,Wed Dec 13 19:56:12 +0000 2017,0,941034034779566080,
0,Sprout Social,@bootybreaker Keep up the good work!,bootybreaker,False,Thu Sep 28 22:42:37 +0000 2017,0,913534437760966656,
44,Twitter Web Client,#RIPVine Thanks for all the laughs. What were some of your favorite vines? https://t.co/UV41XIBHc4,,False,Fri Oct 28 17:45:18 +0000 2016,13,792059680038252544,
15,Sprout Social,Having trouble capturing life's true colors? The RGB IR sensor can help you take pictures with more life-like color… https://t.co/69xnZb9Btg,,False,Mon Feb 19 20:00:25 +0000 2018,3,965677472711835649,
15,Twitter Web Client,"Availble NOW in the US, the Xperia X Compact. Get yours here https://t.co/9ar799DEEq https://t.co/qAI9FMyrTs",,False,Mon Sep 26 19:13:35 +0000 2016,6,780485486179672064,['http://pbs.twimg.com/ext_tw_video_thumb/780481026866937856/pu/img/8CkJWmQwccZPbfpY.jpg']
2,Twitter Web Client,Who will advance between #Bayern and #Benfica today? Predict it right and get a free copy of PES Soccer. Link #UCL https://t.co/ZaZ73bDvOT,,False,Wed Apr 13 07:19:46 +0000 2016,1,720149462048309248,
7,Twitter Web Client,Thank you kindly :) https://t.co/tWDUza9mTr,,False,Tue Aug 02 19:51:52 +0000 2016,1,760563787711864832,
19,Sprout Social,"The Sony MWC press conference is now live. Please click the link below to join the livestream.

https://t.co/eSRpfO16TU",,False,Mon Feb 26 07:54:32 +0000 2018,7,968031510933790720,
0,Twitter for Android,@ChuckJ18 it will not have that feature.,ChuckJ18,False,Tue Jun 14 22:48:58 +0000 2016,0,742851351063846912,
14,Twitter Web Client,For those of you who are superstitious (and even those who are just a little stitious) we hope you made it through Friday 13 unscathed!,,False,Sat Oct 14 05:59:19 +0000 2017,1,919080154965491713,
38,Twitter Web Client,Find a surface and get your game on. Try out the #XperiaTouch at @SonySquareNYC https://t.co/KLjFT4srNW,,False,Mon Jun 12 16:09:55 +0000 2017,9,874297722932801536,['http://pbs.twimg.com/media/DCIhA_bWAAI5fsS.jpg']
0,Sprout Social,@joyceileensmith The XA1 us a great phone and glad to hear youre enjoying it,joyceileensmith,False,Mon Nov 06 21:16:29 +0000 2017,0,927645887471464448,
0,Sprout Social,@Gianfranco14 Nice! Which one did you get?,Gianfranco14,False,Wed Nov 29 00:57:41 +0000 2017,0,935674089225773081,
18,Sprout Social,"A true magician never reveals their secrets. Luckily for you, we aren't magicians, so check out how this nifty coin… https://t.co/ESxpmBkSKd",,False,Mon Jan 15 23:00:31 +0000 2018,4,953039221836713986,
12,Twitter Web Client,"This season, big moments deserve a replay—and real friends are ready to hit record when you go all in. https://t.co/5xgbkB3sF7",,False,Sun Sep 10 19:05:00 +0000 2017,1,906956693824716800,['http://pbs.twimg.com/ext_tw_video_thumb/906956408825954304/pu/img/3Y_KDlUgwoNbremV.jpg']
0,Twitter Web Client,@Bregoire Thanks Ben!,Bregoire,False,Tue May 24 19:04:48 +0000 2016,0,735184795555205124,
0,Sprout Social,@unixterminal @HP @surface XZ1 Compact will be your new best friend,unixterminal,False,Tue Oct 24 01:30:06 +0000 2017,0,922636281980571648,
11,Twitter Web Client,CHICAGO - the copy of #Uncharted4 has been dropped. Refer to the coordinates in the picture for the exact location. https://t.co/jrwkgx3sxz,,False,Wed May 11 21:10:40 +0000 2016,0,730505427830620160,['http://pbs.twimg.com/media/CiNG0G5U4AEKDtG.jpg']
0,Sprout Social,@JasonK051 @Sony Nice! Glad you're enjoying it,,False,Wed Nov 29 22:43:53 +0000 2017,0,936002806783397888,
18,Sprout Social,Flashback to our time in Las Vegas last week. Please enjoy this quick recap video of Sony Xperia @ CES 2018 https://t.co/rwMO4CjlMP,,False,Fri Jan 19 20:01:02 +0000 2018,5,954443603878797312,['http://pbs.twimg.com/ext_tw_video_thumb/954443392527847424/pu/img/btUxR0uWOsM_so_d.jpg']
12,Twitter Web Client,"#XperiaXA1Ultra is available at @BestBuy for a special Friday Phoneday price. Explore the hottest deals, today only! https://t.co/DXSybj8twj",,False,Fri Aug 11 23:19:41 +0000 2017,3,896149149548134400,
8,Google,Sony XZ1 Tutorials - Personalization: https://t.co/9OaFB596zM via @YouTube,,False,Mon Jan 22 20:23:38 +0000 2018,2,955536456272850945,
0,Twitter Web Client,"@SonyRumors We actually don't, but if we see him in the halls we'll try and snap a quick one for you! :)",SonyRumors,False,Tue Apr 05 21:13:24 +0000 2016,0,717460152346144771,
23,Twitter Web Client,Introducing the all new Xperia XZ2 and Xperia XZ2 Compact with immersive innovations for optimizing mobile entertai… https://t.co/fVQBNphY75,,False,Tue Feb 27 01:05:26 +0000 2018,4,968290946260525057,
13,Twitter Web Client,The wide-angle #selfie lens on the #XperiaXA1Ultra keeps everyone in the frame. #RoomForMore https://t.co/yy9nYUQT0p https://t.co/ptaAlhLRME,,False,Mon Jul 24 21:13:33 +0000 2017,1,889594423461457920,['http://pbs.twimg.com/media/DFh5YdwXsAExICg.jpg']
4,Twitter Web Client,"@ShendowX @PlayStation Yes, it is available unlocked.",ShendowX,False,Mon Oct 03 20:14:50 +0000 2016,1,783037615205482496,
1,Sprout Social,@lexxlexxsmith @sonyxperia Thanks for the suggestions!,lexxlexxsmith,False,Wed Oct 11 17:51:57 +0000 2017,0,918172332849496069,
15,Twitter Web Client,Want to get your hands on an XZ Premium? Checkout the ShowStopper offer from @SonyRewards here:… https://t.co/Ly1oohMopR,,False,Wed Jul 12 17:24:59 +0000 2017,4,885188251119759360,
7,Twitter Web Client,Tips to shooting great video on your #xperia smartphone https://t.co/GCJuXeBuSf via @usatoday,,False,Tue Jul 12 18:18:20 +0000 2016,1,752930105542995968,
0,Twitter Web Client,"@modemuphile You got it, Randy.",ProjectZR,False,Wed Apr 20 18:15:05 +0000 2016,0,722851093063950338,
