favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
262,TweetDeck,"Here's a look at #MiDrone, our 4K UHD drone with 3-axis gimbal stabilization. Isn't it gorgeous? https://t.co/AuVpgKSSNP",,False,Wed May 25 18:50:18 +0000 2016,262,735543532845404161,"['http://pbs.twimg.com/media/CjUsoEwXEAARhNP.jpg', 'http://pbs.twimg.com/media/CjUssXpWUAA9Ojy.jpg', 'http://pbs.twimg.com/media/CjUsuhIWUAAOUmy.jpg', 'http://pbs.twimg.com/media/CjUstQRWgAAhaoz.jpg']"
204,Twitter Web Client,That's all for #MiEcosystem Product Launch in Beijing today! Which is your favourite product of the two? https://t.co/v8AzbwYzkD,,False,Wed Jun 28 07:41:03 +0000 2017,78,879967868913242116,['http://pbs.twimg.com/media/DDZF9ARUQAA59vX.jpg']
7,Twitter Web Client,@SrikanthJyothi @leijun Already crying😂 https://t.co/PdVpaMORq2,SrikanthJyothi,False,Tue Dec 26 09:06:54 +0000 2017,0,945581677295820800,['http://pbs.twimg.com/tweet_video_thumb/DR9hdHuVAAAIvve.jpg']
6,Twitter Web Client,@TechnicalCeo Only #MiA1 🙂,TechnicalCeo,False,Thu Oct 26 11:06:30 +0000 2017,1,923506117166096384,
157,Twitter Web Client,#MIUI8's all new caller display. Our design philosophy seeks excellencewith our attention to detail. Saw it? https://t.co/eUk8gmedyA,,False,Thu Apr 28 05:12:56 +0000 2016,77,725553362897268736,
1,Twitter Web Client,@ElectronicHack1 Non stop?,ElectronicHack1,False,Wed Sep 13 12:52:43 +0000 2017,0,907950168971948032,
147,TweetDeck,Thank you to each and every Mi fan for helping us reach greater heights. You rock! https://t.co/1aDxYQuBIN,,False,Wed Oct 19 05:53:14 +0000 2016,105,788618994626490370,
193,Twitter Web Client,"With a capacity like a power bank, this is how we live up to #BIGDISPLAYBIGGERBATTERY! https://t.co/RsGHLhbcrz",,False,Thu May 25 07:13:04 +0000 2017,112,867639639040901121,"['http://pbs.twimg.com/media/DAp5nCJWAAAScOg.jpg', 'http://pbs.twimg.com/media/DAp5nBxXoAAwLLN.jpg']"
3,Twitter Web Client,@iNationalSRKian  https://t.co/9fYuli8gxM,iNationalSRKian,False,Tue Sep 12 18:46:15 +0000 2017,0,907676747834916864,['http://pbs.twimg.com/tweet_video_thumb/DJi3KPbUEAA_6WC.jpg']
2094,Twitter Web Client,What color #MiA1 is your favorite? Let Mi know and it could be yours! Today is your final day to #StopGivingUp https://t.co/aJo8MlX9y9,,False,Wed Jan 31 03:25:53 +0000 2018,292,958541820857692160,['http://pbs.twimg.com/media/DU1sXgEU8AMUZWV.jpg']
1,Twitter Web Client,@MPrasetyooo @xiaomiindonesia Manis di HATIMU! 😍,MPrasetyooo,False,Sat Sep 09 10:51:11 +0000 2017,1,906470032774803457,
384,Twitter Web Client,We'll be covering our #MiCES2017 product launch live on Twitter starting  Jan 5 11AM PT. Live stream available on… https://t.co/kzCtMgxdB3,,False,Wed Dec 28 17:54:21 +0000 2016,189,814167617283891200,
242,TweetDeck,"With Helio X25 10-core processor and Mali-T880 GPU, #RedmiPro is our most powerful Redmi ever! https://t.co/qUuc0xuof3",,False,Wed Jul 27 06:42:59 +0000 2016,233,758190930620973056,"['http://pbs.twimg.com/media/CoWhYyzVMAAvbLG.jpg', 'http://pbs.twimg.com/media/CoWhY6tVUAAeGFP.jpg', 'http://pbs.twimg.com/media/CoWhYpnVUAAIubM.jpg']"
255,TweetDeck,"Thanks to the OLED display. Your images are now more vivid. Not only that,colour contrast is greater and richer too! https://t.co/gs2j4Rgt7B",,False,Wed Jul 27 06:35:44 +0000 2016,239,758189108317589504,"['http://pbs.twimg.com/media/CoWgsk3UAAA8niq.jpg', 'http://pbs.twimg.com/media/CoWgxAYUsAECNLv.jpg']"
11,Twitter Web Client,@BadhiyaPK LOL you win!,BadhiyaPK,False,Mon Jan 22 04:45:48 +0000 2018,0,955300439309803520,
375,Twitter Web Client,"So many ""what-ifs"" - Dual camera in the 15th century? Reply and tell Mi what you think it could be!… https://t.co/xmSJ5yYDME",,False,Mon Aug 28 10:01:45 +0000 2017,61,902108935338860544,
5,Twitter Web Client,@chvamsi007 Gotta be #RedmiNote4 !,chvamsi007,False,Tue Aug 29 12:54:28 +0000 2017,0,902514789779255296,
200,Twitter Web Client,And that's the end of our #MiLaunch today! What's your favorite? Tell us!,,False,Tue Oct 25 11:22:57 +0000 2016,149,790876298172260352,
250,Twitter Business Experience,"Bask in the beauty of Mi TV 4, our thinnest TV yet. Planning an upgrade? 📺 RT to show your love! https://t.co/Z5XbkHi51d",,False,Thu Jan 05 19:50:40 +0000 2017,207,817095993300684800,"['http://pbs.twimg.com/media/C1boZ3OUQAAHW-u.jpg', 'http://pbs.twimg.com/media/C1boZ8_VIAAUL6-.jpg', 'http://pbs.twimg.com/media/C1boZ5qUQAAZkGD.jpg', 'http://pbs.twimg.com/media/C1boZ9JVQAAIprF.jpg']"
11,Twitter Web Client,@chvamsi007  https://t.co/VX5XlzSiLN,chvamsi007,False,Tue Aug 29 13:24:09 +0000 2017,0,902522261629935616,['http://pbs.twimg.com/tweet_video_thumb/DIZnM4IV4AA0idy.jpg']
4,Twitter Web Client,@hurufel Awww.. you're sweet!,hurufel,False,Tue Sep 12 18:49:58 +0000 2017,0,907677685656166400,
259,Twitter Web Client,"#MiNote2 is built to fast and built to last 😱: Qualcomm Snapdragon 821, 6GB+128GB, and 4070mAh battery with Quick C… https://t.co/NYkE1u1Ben",,False,Tue Oct 25 06:38:41 +0000 2016,271,790804758617391104,
3,Twitter Web Client,@rksreepansh You always have us!,rksreepansh,False,Thu Feb 22 08:21:59 +0000 2018,0,966588869368889344,
214,Twitter Web Client,Nice photo with #MiA1 😎 https://t.co/TpYNhgWTto,,False,Tue Oct 17 12:52:06 +0000 2017,47,920271201573810176,
26,Twitter Web Client,@UNCUT_Reviews Urm.. you gotta wait a while longer 😇,UNCUT_Reviews,False,Thu Dec 07 11:13:07 +0000 2017,1,938728072404090880,
9,Twitter Web Client,@NirjanSarkar We hear you! 😀,NirjanSarkar,False,Wed Mar 07 04:37:25 +0000 2018,0,971243397620162560,
0,Twitter Web Client,@ElectronicHack1 What do you do with it?!,ElectronicHack1,False,Wed Sep 13 12:51:05 +0000 2017,0,907949755585589248,
210,TweetDeck,"#MiDrone has GPS, GLONASS, and vision positioning. Has smart autopilot mode for beginners. https://t.co/NAukpvhdjR",,False,Wed May 25 18:59:04 +0000 2016,236,735545740106334209,"['http://pbs.twimg.com/media/CjUu6t_XIAEheq4.jpg', 'http://pbs.twimg.com/media/CjUu8yuXAAE7eoU.jpg', 'http://pbs.twimg.com/media/CjUu7bnW0AALgm2.jpg', 'http://pbs.twimg.com/media/CjUu7nkWkAErTv6.jpg']"
1,Twitter Web Client,@Karna_22 Were you in it?,Karna_22,False,Thu Sep 14 15:49:16 +0000 2017,1,908356986630049793,
181,TweetDeck,Having an upgradable base band means having VoLTE definition voice call and more secure against fraudulent base sta… https://t.co/ir0GlEnx0Q,,False,Tue Feb 28 06:43:41 +0000 2017,100,836466887085047810,
6,Twitter Web Client,@abhishinde99 @Karna_22 It will be a gift 😇 #TeamJacksonforMiA1,abhishinde99,False,Thu Dec 14 14:58:52 +0000 2017,2,941321599143182336,
6,Twitter Web Client,"@kanagarajsmart Hang in there now, coming real soon! We are still with the developers, working to push it out to more #MiA1 users!",kanagarajsmart,False,Sun Dec 31 15:06:34 +0000 2017,1,947484128336736258,
1722,Twitter Web Client,Forget chocolates! Would you ❤️ this as your special treat? #LoveMe https://t.co/SbX5g9yHq1,,False,Mon Feb 12 01:38:07 +0000 2018,155,962863355210842112,['http://pbs.twimg.com/media/DVzF3dKUMAEHKkA.jpg']
2,Twitter Web Client,@MListerine Can never have too many! 😃,MListerine,False,Sun Mar 18 01:21:45 +0000 2018,0,975180424828735489,
673,TweetDeck,"#Mi5s is Xiaomi’s new flagship: ultra-large camera sensor (1.55um pixels), ultrasonic under-glass fingerprint senso… https://t.co/faMIEyTIY2",,False,Tue Sep 27 11:45:47 +0000 2016,473,780735183024558081,
3,Twitter Web Client,@KManersure Yay!,KManersure,False,Tue Sep 12 18:43:15 +0000 2017,0,907675993111855104,
23,Twitter Web Client,@samekashy Study smart and you'll do well! All the best Sameer!,samekashy,False,Fri Dec 29 12:45:39 +0000 2017,0,946723892789362688,
411,Twitter Web Client,How does it work? Stay tuned later today for #FlagshipDualCamera! #XiaomiGlobalLaunch https://t.co/TwuQ9JVaqt,,False,Sat Sep 02 06:37:50 +0000 2017,69,903869556845715457,['http://pbs.twimg.com/media/DIpKns7UMAA6OZx.jpg']
195,Twitter Web Client,It can only get better from here! https://t.co/acNIDcyiMC #MiA1 #Google #AndroidOne,,False,Tue Sep 05 07:25:06 +0000 2017,79,904968615652241408,
4,Twitter Web Client,@mahtab1900 What would your Mi A2 look like?,mahtab1900,False,Thu Mar 15 08:49:03 +0000 2018,0,974205827115401217,
0,Twitter Web Client,@clo_bea We hear you,clo_bea,False,Thu Mar 08 02:58:59 +0000 2018,0,971581013716451328,
2,Twitter Web Client,@MBatra01 You better believe it! ❤️,MBatra01,False,Wed Aug 09 14:18:29 +0000 2017,0,895288176582852608,
13,Twitter Web Client,"@gotokyo You have an adorable fur-st family, BTW. What are their names?",gotokyo,False,Thu Oct 20 05:21:22 +0000 2016,0,788973361728659456,
14,Twitter Web Client,@Varo412 Ola! @Espana_Xiaomi,Varo412,False,Thu Nov 16 10:09:59 +0000 2017,0,931102039282671616,
13,Twitter Web Client,@hariegomoji We do! Stay tuned and you could get lucky!,hariegomoji,False,Tue Mar 27 09:08:22 +0000 2018,0,978559342994575360,
6,Twitter Web Client,@artiya4u Share a story with us along the way 😀,artiya4u,False,Thu Oct 26 07:59:24 +0000 2017,0,923459032123195393,
7,Twitter Web Client,"@neelrathod163 Like this one! Can't help but smile back, can you?",neelrathod163,False,Sun Mar 11 02:26:16 +0000 2018,0,972659945068883968,
229,Twitter Web Client,#MiFans in India - Here's where you get the latest updates or get your queries answered on MIUI! @MIUI_India https://t.co/QxgESZ2F7M,,False,Wed Oct 25 14:09:45 +0000 2017,48,923189845299785728,
2789,Twitter Web Client,Can you guess who is looking at you? https://t.co/5HlzIdaZsF,,False,Thu Mar 01 05:00:44 +0000 2018,301,969074938043777024,['http://pbs.twimg.com/media/DXLYZhNUQAAay1y.jpg']
