favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
14,Twitter for iPhone,S k i l l s! 😎 check out all of the fun at the adult league skills competition. #ZTEBTB https://t.co/sdwezmDU2t,,False,Sat Feb 17 19:13:55 +0000 2018,2,964940996164407297,['http://pbs.twimg.com/ext_tw_video_thumb/964940882750435335/pu/img/kuHLRmDFwz6reSwL.jpg']
8,Twitter for iPhone,#DubNation ✈️ ✈️✈️ Round 3 https://t.co/U35xdaE6AU,,False,Tue May 09 03:33:36 +0000 2017,0,861786202688585728,
35,Twitter for iPhone,"It's always a fun time with ZTE in the building! We're here ""Delivering Tomorrow, Today."" #myAxon #Knicks https://t.co/jB51bjxyeR",,False,Tue Jan 03 01:09:14 +0000 2017,9,816089000473665536,"['http://pbs.twimg.com/media/C1NUmk1XEAA-ine.jpg', 'http://pbs.twimg.com/media/C1NUmk2XEAESXQd.jpg', 'http://pbs.twimg.com/media/C1NUmk3XgAAV0cz.jpg', 'http://pbs.twimg.com/media/C1NUmk-WgAA6nsK.jpg']"
50,Twitter Web Client,'Twas the night before Halloween ... what scary movie are you going to watch on your Spro 2 tonight? https://t.co/RQ29q22aw0,,False,Mon Oct 31 02:11:31 +0000 2016,21,792911852640407552,['http://pbs.twimg.com/ext_tw_video_thumb/792911263135170561/pu/img/ucA7m3myiraEkXA_.jpg']
13,Spredfast,"That static sound is the worst, and you deserve better. https://t.co/vJxoBQbvlp https://t.co/z2yv7y4X9I",,False,Fri Apr 07 21:00:10 +0000 2017,3,850453165883502594,['http://pbs.twimg.com/media/C81qpMqWsAArpq_.jpg']
1,Twitter Web Client,"@TweetAtKev Correct, there is no hardware button option to launch the camera.",TweetAtKev,False,Fri Jul 15 14:40:00 +0000 2016,0,753962321446309888,
0,Spredfast,"@mrrobertsingh Hi, Robert. We're sorry you feel that way. Thank you for the feedback - we'll pass it along to the R&amp;D team.",mrrobertsingh,False,Thu Apr 06 19:14:16 +0000 2017,0,850064127401840640,
0,Twitter Web Client,"@fngrmnky14 Oh no! That's not the experience we want you to have, Mrs. B. Send us a message and let's talk through… https://t.co/6aa2n0VjlM",fngrmnky14,False,Tue Dec 26 15:24:24 +0000 2017,0,945676678063362048,
0,Falcon Social Media Management ,@66silverblock88 We want to help you get this issue resolved. Please private message us and our Customer Care team can better assist you.,66silverblock88,False,Fri Mar 23 14:10:41 +0000 2018,0,977185870624280576,
0,Twitter for iPhone,@Jayson_McDowell Lol,Jayson_McDowell,False,Thu Apr 27 03:43:21 +0000 2017,0,857439999687622656,
0,Spredfast,@darkmastergrey We will start shipping out the new batches of the Axon 7 in November. Thank you for your patience!,darkmastergrey,False,Mon Oct 24 22:08:03 +0000 2016,0,790676253875527681,
12,Falcon Social Media Management ,"Add 128 GB MicroSDXC™ to your Blade X Max, and don't worry about deleting apps #ZTE. https://t.co/p3RsoA2uzT https://t.co/t2x0vd9xOE",,False,Fri Aug 04 16:00:48 +0000 2017,4,893501984401227777,['http://pbs.twimg.com/media/DGZbUYoWsAAkHJO.jpg']
1,Falcon Social Media Management ,"@ashertech @ZTE_Community Great video, Asher. Thanks for sharing!",ashertech,False,Fri Mar 16 15:41:18 +0000 2018,0,974671958725054464,
15,Spredfast,Today is all about you and that front facing camera. Happy National #SelfieDay! https://t.co/oaYWCTMT74 https://t.co/6StaeN1P7H,,False,Wed Jun 21 17:27:05 +0000 2017,4,877578633996402688,['http://pbs.twimg.com/ext_tw_video_thumb/877578627793264641/pu/img/hwl9LPonnN0R1LBM.jpg']
853,Twitter Web Client,"""It feels that futuristic."" Thanks for the kind words, @Techn0Mark! See why you definitely need the all new #AxonM… https://t.co/z7QBY561I7",,False,Mon Jan 29 20:44:04 +0000 2018,183,958078310722031616,
1,Falcon Social Media Management ,"@PandaKitty5683 At this time, Android Oreo for the Axon 7 has not been confirmed.",PandaKitty5683,False,Wed Nov 15 18:08:06 +0000 2017,0,930859970949799936,
39,Twitter Web Client,ZTE's first foldable smartphone with dual screens has arrived. The #AxonM is now available in stores. Get yours tod… https://t.co/M1wrQoJa4c,,False,Fri Nov 17 22:04:04 +0000 2017,12,931644131457290240,
0,Falcon Social Media Management ,"@Kevinmonster13 Hi, Kevin. At this time, we do not have insight as to if or when the US Axon 7 variant will be upda… https://t.co/Vx8Ns1NxA8",Kevinmonster13,False,Thu Mar 22 20:35:14 +0000 2018,0,976920259839045633,
