Samsung,"['Galaxy S9+', 'Galaxy S9', 'Galaxy J2 Pro (2018)', 'Galaxy A8+ (2018)', 'Galaxy A8 (2018)', 'Galaxy J2 (2017)', 'Galaxy C7 (2017)', 'Galaxy Note8', 'Galaxy S8 Active', 'Galaxy J7 V', 'Galaxy Note FE', 'Galaxy J7 Max', 'Galaxy J7 (2017)', 'Galaxy J7 Pro', 'Galaxy J5 (2017)', 'Galaxy J3 (2017)', 'Z4', 'Galaxy S8', 'Galaxy S8+', 'Galaxy C5 Pro', 'Galaxy Xcover 4', 'Galaxy J1 mini prime', 'Galaxy J3 Emerge', 'Galaxy C7 Pro', 'Galaxy A7 (2017)', 'Galaxy A5 (2017)', 'Galaxy A3 (2017)', 'Galaxy Grand Prime Plus', 'Galaxy J2 Prime', 'Galaxy C9 Pro', 'Galaxy C10', 'Galaxy A8 (2016)', 'Galaxy On8', 'Galaxy On7 (2016)', 'Galaxy J5 Prime', 'Galaxy J7 Prime', 'Z2', 'Galaxy Note7 (USA)', 'Galaxy Note7', 'Galaxy On7 Pro', 'Galaxy On5 Pro', 'Galaxy Tab J', 'Galaxy J Max', 'Galaxy J2 Pro (2016)', 'Galaxy J2 (2016)', 'Z3 Corporate Edition', 'Galaxy Xcover 3 G389F', 'Galaxy S7 active', 'Galaxy J3 Pro', 'Galaxy C7', 'Galaxy C5', 'Galaxy A9 Pro (2016)', 'Galaxy J7 (2016)', 'Galaxy J5 (2016)', 'Galaxy S7', 'Galaxy S7 edge', 'Galaxy S7 edge (USA)', 'Galaxy S7 (USA)', 'Galaxy J1 Nxt', 'Galaxy J1 (2016)', 'Galaxy A9 (2016)', 'Galaxy A7 (2016)', 'Galaxy A5 (2016)', 'Galaxy A3 (2016)', 'Galaxy Express Prime', 'Galaxy J3 (2016)', 'Galaxy On7', 'Galaxy On5', 'Z3', 'Galaxy J1 Ace']"
Apple,"['iPhone X', 'iPhone 8 Plus', 'iPhone 8', 'iPhone 7 Plus', 'iPhone 7', 'iPhone SE', 'iPhone 6s Plus', 'iPhone 6s', 'iPhone 6 Plus', 'iPhone 6', 'iPhone 5s', 'iPhone 5c']"
Nokia,"['8110 4G', '8 Sirocco', '7 plus', '6 (2018)', '1', '3310 4G', '2', '7', '3310 3G', '8', '105 (2017)', '130 (2017)', '3', '5', '6', '3310 (2017)', '150', '216', '230 Dual SIM', '230', '222 Dual SIM', '222', '105 Dual SIM (2015)', '105 (2015)', '215', '215 Dual SIM', 'Lumia 638', 'Lumia 730 Dual SIM', 'Lumia 735', 'Lumia 830', '130 Dual SIM', '130', 'Lumia 530 Dual SIM', 'Lumia 530', 'X2 Dual SIM', '225', '225 Dual SIM', 'Lumia 930', 'Lumia 635', 'Lumia 630 Dual SIM', 'Lumia 630', 'XL', 'X+', 'X', 'Asha 230', '220', 'Lumia Icon', 'Lumia 525', 'Lumia 1520', 'Lumia 1320', 'Lumia 2520', 'Asha 503 Dual SIM', 'Asha 503', 'Asha 502 Dual SIM', 'Asha 500 Dual SIM', 'Asha 500', '108 Dual SIM', '515', '107 Dual SIM', '106', 'Lumia 625', 'Lumia 1020', '208', '207']"
Sony,"['Xperia XA2 Ultra', 'Xperia XA2', 'Xperia L2', 'Xperia R1 (Plus)', 'Xperia XZ1', 'Xperia XA1 Plus', 'Xperia XZ1 Compact', 'Xperia L1', 'Xperia XZs', 'Xperia XZ Premium', 'Xperia XA1 Ultra', 'Xperia XA1', 'Xperia X Compact', 'Xperia XZ', 'Xperia E5', 'Xperia XA Ultra', 'Xperia X Performance', 'Xperia X', 'Xperia XA Dual', 'Xperia XA', 'Xperia Z5 Premium Dual', 'Xperia Z5 Premium', 'Xperia Z5 Dual', 'Xperia Z5', 'Xperia Z5 Compact', 'Xperia M5 Dual', 'Xperia M5', 'Xperia C5 Ultra Dual', 'Xperia C5 Ultra', 'Xperia Z4v']"
LG,"['K10 (2018)', 'K8 (2018)', 'Aristo 2', 'X4+', 'V30', 'Q8', 'Q6', 'X venture', 'G6', 'X power2', 'Stylo 3 Plus', 'Stylus 3', 'Harmony', 'K20 plus', 'K10 (2017)', 'K8 (2017)', 'K7 (2017)', 'K4 (2017)', 'K3 (2017)', 'U', 'V20', 'X Skin', 'X5', 'X max', 'X mach', 'X power', 'X style', 'Stylus 2 Plus', 'Stylo 2', 'K5', 'K3', 'G5 SE', 'G5', 'X cam', 'X screen', 'K8', 'Stylus 2', 'K10', 'K7', 'K4', 'Ray', 'G Vista 2', 'V10', 'Nexus 5X', 'Zero', 'Wine Smart', 'Tribute 2', 'Bello II']"
HTC,"['U11 Eyes', 'U11+', 'U11 Life', 'U11', 'One X10', 'U Ultra', 'U Play', '10 evo', 'Desire 650', 'Desire 10 Pro', 'Desire 10 Compact', 'Desire 10 Lifestyle', 'One A9s', 'Desire 728 Ultra', 'Desire 628', 'One M9 Prime Camera', 'Desire 830', 'One S9', '10 Lifestyle', '10', 'Desire 825', 'Desire 630', 'Desire 530', 'Desire 625', 'One X9', 'One M9s', 'Desire 828 dual sim', 'Desire 728 dual sim', 'One E9s dual sim', 'Butterfly 3', 'One A9', 'One M9+ Supreme Camera', 'Desire 626 (USA)', 'Desire 626s', 'Desire 526', 'Desire 520', 'One ME', 'Desire 820G+ dual sim', 'Desire 326G dual sim', 'One M9+']"
Motorola,"['Moto X4', 'Moto G5S Plus', 'Moto G5S', 'Moto Z2 Force', 'Moto E4 Plus', 'Moto E4 Plus (USA)', 'Moto E4', 'Moto E4 (USA)', 'Moto Z2 Play', 'Moto C Plus', 'Moto C', 'Moto G5 Plus', 'Moto G5', 'Moto M', 'Moto E3 Power', 'Moto Z Play', 'Moto E3', 'Moto Z Force', 'Moto Z', 'Moto G4 Plus', 'Moto G4', 'Moto G4 Play', 'Moto G Turbo Edition', 'Moto X Force', 'Droid Turbo 2', 'Droid Maxx 2', 'Moto X Style', 'Moto X Play Dual SIM', 'Moto X Play', 'Moto G Dual SIM (3rd gen)', 'Moto G (3rd gen)', 'Moto E Dual SIM (2nd gen)', 'Moto E (2nd gen)', 'Moto G 4G (2nd gen)', 'Moto G 4G Dual SIM (2nd gen)', 'Moto Maxx', 'DROID Turbo', 'Nexus 6', 'Moto X (2nd Gen)', 'Moto G Dual SIM (2nd gen)', 'Moto G (2nd gen)', 'Moto G 4G', 'Luge', 'Moto E', 'Moto E Dual SIM', 'Moto G Dual SIM']"
Huawei,"['Honor 9 Lite', 'P smart', 'nova 2s', 'Honor 7X', 'Honor View 10', 'Mate 10 Porsche Design', 'Mate 10 Pro', 'Mate 10', 'Mate 10 Lite', 'Honor 6C Pro', 'P9 lite mini', 'Honor 9', 'Y7 Prime', 'nova 2 plus', 'nova 2', 'Y6II Compact', 'Y7', 'Honor 6A (Pro)', 'Y6 (2017)', 'Y5 (2017)', 'Y3 (2017)', 'Honor 8 Pro', 'P10 Plus', 'P10', 'P10 Lite', 'P8 Lite (2017)', 'Honor Magic', 'Enjoy 6s', 'Mate 9 Pro', 'Mate 9 Porsche Design', 'Mate 9', 'Honor V8']"
Microsoft,"['Lumia 650', 'Lumia 950 XL Dual SIM', 'Lumia 950 XL', 'Lumia 950 Dual SIM', 'Lumia 950', 'Lumia 550', 'Lumia 540 Dual SIM', 'Lumia 430 Dual SIM', 'Lumia 640 XL LTE Dual SIM', 'Lumia 640 XL LTE', 'Lumia 640 XL Dual SIM', 'Lumia 640 XL', 'Lumia 640 LTE Dual SIM', 'Lumia 640 LTE', 'Lumia 640 Dual SIM', 'Lumia 532 Dual SIM', 'Lumia 532', 'Lumia 435 Dual SIM', 'Lumia 435', 'Lumia 535 Dual SIM', 'Lumia 535', 'Surface 2', 'Surface', 'Kin TWOm', 'Kin ONEm', 'Kin Two', 'Kin One', 'Lumia 1030', 'Lumia 1330', 'Lumia 850']"
Lenovo,"['K320t', 'K8 Plus', 'K8', 'K8 Note', 'ZUK Edge', 'A6600 Plus', 'A6600', 'B', 'A Plus', 'P2', 'K6 Note', 'K6 Power', 'K6', 'Vibe A', 'C2 Power', 'C2', 'Phab2 Plus', 'Phab2', 'Phab2 Pro', 'ZUK Z2', 'Vibe C', 'ZUK Z2 Pro', 'Vibe K5 Plus', 'Vibe K5', 'A7000 Turbo', 'Vibe P1 Turbo', 'K5 Note', 'Lemon 3']"
